person_as_time,img,term,category,score
2019-01-13,Person12_6,cloudSign|cupcakePaper|eyeball|metalKey|partyFavor|pinkCandle|sign|blueSunglasses,label|label|label|label|label|label|label|label,cloudSign:0.34231;cupcakePaper:0.25328;eyeball:0.25077;metalKey:0.5301600000000001;partyFavor:0.3487;pinkCandle:0.26925;sign:0.37824;blueSunglasses:0.36932
2019-01-13,Person12_7,eyeball|pumpkinNotes|blueSunglasses|yellowBag,label|label|label|label,eyeball:0.3681;pumpkinNotes:0.38525;blueSunglasses:0.35054;yellowBag:0.25977
2019-01-13,Person12_8,eyeball|blueSunglasses|lavenderDie|yellowBag,label|label|label|label,eyeball:0.31351;blueSunglasses:0.30504000000000003;lavenderDie:0.71554;yellowBag:0.5849300000000001
2019-01-13,Person12_9,,,
2019-01-14,Person13_1,birdCall|canadaPencil|cloudSign|cupcakePaper|eyeball|partyFavor|pinkCandle|pumpkinNotes|sign|trophy|blueSunglasses|hairClip|stickerBox,label|label|label|label|label|label|label|label|label|label|label|label|label,birdCall:0.38448000000000004;canadaPencil:0.25136;cloudSign:0.46061;cupcakePaper:0.29641;eyeball:0.34396;partyFavor:0.36451;pinkCandle:0.2656;pumpkinNotes:0.50765;sign:0.44635;trophy:0.27285;blueSunglasses:0.40599;hairClip:0.29662;stickerBox:0.25934
2019-01-14,Person13_10,eyeball|metalKey|pinkCandle|sign|blueSunglasses|hairClip|yellowBag,label|label|label|label|label|label|label,eyeball:0.28648;metalKey:0.27598;pinkCandle:0.26914;sign:0.61639;blueSunglasses:0.5558;hairClip:0.56653;yellowBag:0.31434
2019-01-14,Person13_11,birdCall|cloudSign|eyeball|pumpkinNotes|trophy|blueSunglasses|hairClip,label|label|label|label|label|label|label,birdCall:0.6221800000000001;cloudSign:0.34492;eyeball:0.42258;pumpkinNotes:0.43421000000000004;trophy:0.25858000000000003;blueSunglasses:0.39503;hairClip:0.47141000000000005
2019-01-14,Person13_12,birdCall|cloudSign|eyeball|pinkCandle|sign|trophy|blueSunglasses|hairClip,label|label|label|label|label|label|label|label,birdCall:0.2549;cloudSign:0.33359;eyeball:0.32400999999999996;pinkCandle:0.49736;sign:0.28213;trophy:0.40205;blueSunglasses:0.29525999999999997;hairClip:0.76247
2019-01-14,Person13_13,cloudSign|cupcakePaper|eyeball|partyFavor|pinkCandle|sign|blueSunglasses|yellowBag,label|label|label|label|label|label|label|label,cloudSign:0.49188999999999994;cupcakePaper:0.41163;eyeball:0.29077;partyFavor:0.43327;pinkCandle:0.29013;sign:0.30053;blueSunglasses:0.25118;yellowBag:0.34783000000000003
2019-01-14,Person13_14,canadaPencil|cloudSign|cupcakePaper|pumpkinNotes|sign|yellowBalloon|blueSunglasses|hairClip|stickerBox|yellowBag,label|label|label|label|label|label|label|label|label|label,canadaPencil:0.35777;cloudSign:0.27199;cupcakePaper:0.28634;pumpkinNotes:0.48801000000000005;sign:0.30171;yellowBalloon:0.25708000000000003;blueSunglasses:0.36628;hairClip:0.39438;stickerBox:0.46353999999999995;yellowBag:0.35735
2019-01-14,Person13_15,birdCall|cloudSign|eyeball|blueSunglasses|hairClip|yellowBag,label|label|label|label|label|label,birdCall:0.56888;cloudSign:0.39598;eyeball:0.54155;blueSunglasses:0.29845;hairClip:0.51003;yellowBag:0.26916999999999996
2019-01-14,Person13_16,birdCall|canadaPencil|cloudSign|cupcakePaper|eyeball|paperPlate|pumpkinNotes|blueSunglasses|stickerBox,label|label|label|label|label|label|label|label|label,birdCall:0.3922;canadaPencil:0.31506999999999996;cloudSign:0.29524;cupcakePaper:0.34157;eyeball:0.31451999999999997;paperPlate:0.48872;pumpkinNotes:0.48885;blueSunglasses:0.4381;stickerBox:0.5343399999999999
2019-01-14,Person13_17,birdCall|canadaPencil|cloudSign|pinkCandle|redWhistle|sign|blueSunglasses,label|label|label|label|label|label|label,birdCall:0.29941999999999996;canadaPencil:0.26366999999999996;cloudSign:0.34912;pinkCandle:0.33959;redWhistle:0.36351999999999995;sign:0.6219;blueSunglasses:0.3591
2019-01-14,Person13_18,lavenderDie|yellowBag,label|label,lavenderDie:0.34745;yellowBag:0.40215
2019-01-14,Person13_19,cloudSign|eyeball|pumpkinNotes|redWhistle|blueSunglasses|hairClip|stickerBox|yellowBag,label|label|label|label|label|label|label|label,cloudSign:0.29448;eyeball:0.61664;pumpkinNotes:0.28934;redWhistle:0.35320999999999997;blueSunglasses:0.25151;hairClip:0.32889;stickerBox:0.59883;yellowBag:0.42872
2019-01-14,Person13_2,birdCall|pinkCandle|blueSunglasses,label|label|label,birdCall:0.56588;pinkCandle:0.31942;blueSunglasses:0.61423
2019-01-14,Person13_20,birdCall|cloudSign|eyeball|pumpkinNotes|redWhistle|sign|trophy|hairClip|lavenderDie|stickerBox|yellowBag,label|label|label|label|label|label|label|label|label|label|label,birdCall:0.3589;cloudSign:0.25938;eyeball:0.53599;pumpkinNotes:0.33999;redWhistle:0.2642;sign:0.38008000000000003;trophy:0.33338;hairClip:0.37989;lavenderDie:0.60702;stickerBox:0.5897399999999999;yellowBag:0.25139
2019-01-14,Person13_21,birdCall|cloudSign|eyeball|pinkCandle|pumpkinNotes|sign|lavenderDie|stickerBox,label|label|label|label|label|label|label|label,birdCall:0.28854;cloudSign:0.2692;eyeball:0.5169600000000001;pinkCandle:0.27008000000000004;pumpkinNotes:0.26134;sign:0.31267;lavenderDie:0.5628;stickerBox:0.40698
2019-01-14,Person13_22,eyeball|lavenderDie|yellowBag,label|label|label,eyeball:0.43801999999999996;lavenderDie:0.7135199999999999;yellowBag:0.35152
2019-01-14,Person13_23,cloudSign|eyeball|pumpkinNotes|redWhistle|hairClip|stickerBox|yellowBag,label|label|label|label|label|label|label,cloudSign:0.36416;eyeball:0.48181;pumpkinNotes:0.34653;redWhistle:0.25019;hairClip:0.34656;stickerBox:0.42595;yellowBag:0.31243000000000004
2019-01-14,Person13_24,birdCall|cloudSign|hairClip,label|label|label,birdCall:0.52275;cloudSign:0.36106;hairClip:0.42462
2019-01-14,Person13_25,cloudSign|eyeball|pinkCandle|redWhistle|sign|blueSunglasses|stickerBox,label|label|label|label|label|label|label,cloudSign:0.43446999999999997;eyeball:0.33074000000000003;pinkCandle:0.28865999999999997;redWhistle:0.42211000000000004;sign:0.33592;blueSunglasses:0.34596;stickerBox:0.49267
2019-01-14,Person13_26,cloudSign|eyeball|partyFavor|pinkCandle|sign|blueSunglasses|hairClip,label|label|label|label|label|label|label,cloudSign:0.56375;eyeball:0.4161;partyFavor:0.26621;pinkCandle:0.5274;sign:0.5756899999999999;blueSunglasses:0.27234;hairClip:0.37393000000000004
2019-01-14,Person13_27,birdCall|cloudSign|cupcakePaper|eyeball|metalKey|partyFavor|pinkCandle|pumpkinNotes|sign|blueSunglasses|hairClip|lavenderDie|yellowBag,label|label|label|label|label|label|label|label|label|label|label|label|label,birdCall:0.38461;cloudSign:0.45965;cupcakePaper:0.28084000000000003;eyeball:0.42988999999999994;metalKey:0.4173;partyFavor:0.39908000000000005;pinkCandle:0.43665;pumpkinNotes:0.25398000000000004;sign:0.34146;blueSunglasses:0.5989;hairClip:0.53503;lavenderDie:0.37051;yellowBag:0.41093999999999997
2019-01-14,Person13_28,birdCall|cloudSign|eyeball|pinkCandle|hairClip|yellowBag,label|label|label|label|label|label,birdCall:0.25358;cloudSign:0.31248000000000004;eyeball:0.57662;pinkCandle:0.36569;hairClip:0.54162;yellowBag:0.28300000000000003
2019-01-14,Person13_29,birdCall|cloudSign|cupcakePaper|paperPlate|pumpkinNotes|sign|vancouverCards|blueSunglasses|stickerBox,label|label|label|label|label|label|label|label|label,birdCall:0.50257;cloudSign:0.35798;cupcakePaper:0.31577;paperPlate:0.5996600000000001;pumpkinNotes:0.46146000000000004;sign:0.2795;vancouverCards:0.3581;blueSunglasses:0.46103999999999995;stickerBox:0.30359
2019-01-14,Person13_3,birdCall|cloudSign|eyeball|pinkCandle|pumpkinNotes|redWhistle|sign|blueSunglasses|hairClip|lavenderDie|yellowBag,label|label|label|label|label|label|label|label|label|label|label,birdCall:0.51344;cloudSign:0.39744;eyeball:0.30325;pinkCandle:0.36334;pumpkinNotes:0.3354;redWhistle:0.44297;sign:0.41108999999999996;blueSunglasses:0.41435;hairClip:0.46329;lavenderDie:0.29099;yellowBag:0.36078000000000005
2019-01-14,Person13_30,cloudSign|pinkCandle|pumpkinNotes|redWhistle|sign|blueSunglasses|stickerBox,label|label|label|label|label|label|label,cloudSign:0.46752;pinkCandle:0.27876;pumpkinNotes:0.26626;redWhistle:0.26616;sign:0.41688000000000003;blueSunglasses:0.38688;stickerBox:0.41806000000000004
2019-01-14,Person13_31,canadaPencil|cloudSign|eyeball|pinkCandle|pumpkinNotes|redWhistle|sign|blueSunglasses|hairClip|stickerBox|yellowBag,label|label|label|label|label|label|label|label|label|label|label,canadaPencil:0.33674;cloudSign:0.38472;eyeball:0.38036;pinkCandle:0.44273999999999997;pumpkinNotes:0.37135999999999997;redWhistle:0.31834;sign:0.41723000000000005;blueSunglasses:0.376;hairClip:0.72275;stickerBox:0.25555;yellowBag:0.25373
2019-01-14,Person13_32,birdCall|cloudSign|eyeball|pinkCandle|pumpkinNotes|sign|trophy|blueSunglasses|hairClip|yellowBag,label|label|label|label|label|label|label|label|label|label,birdCall:0.44627;cloudSign:0.40878000000000003;eyeball:0.33211;pinkCandle:0.37234;pumpkinNotes:0.25856999999999997;sign:0.4709;trophy:0.3189;blueSunglasses:0.34443;hairClip:0.66194;yellowBag:0.25382
2019-01-14,Person13_33,birdCall|cloudSign|eyeball|metalKey|pumpkinNotes|trophy|blueSunglasses|hairClip|yellowBag,label|label|label|label|label|label|label|label|label,birdCall:0.46297;cloudSign:0.3625;eyeball:0.429;metalKey:0.47323000000000004;pumpkinNotes:0.29336999999999996;trophy:0.26654;blueSunglasses:0.38834;hairClip:0.45431000000000005;yellowBag:0.29331999999999997
2019-01-14,Person13_34,birdCall|cloudSign|eyeball|partyFavor|pinkCandle|pumpkinNotes|sign|silverStraw|hairClip,label|label|label|label|label|label|label|label|label,birdCall:0.31878;cloudSign:0.37976;eyeball:0.33691;partyFavor:0.35161;pinkCandle:0.27174;pumpkinNotes:0.32665;sign:0.36175;silverStraw:0.53118;hairClip:0.44528
2019-01-14,Person13_35,cloudSign|eyeball|pumpkinNotes|yellowBag,label|label|label|label,cloudSign:0.34546;eyeball:0.36862;pumpkinNotes:0.30114;yellowBag:0.34348
2019-01-14,Person13_36,eyeball|sign,label|label,eyeball:0.46935;sign:0.58794
2019-01-14,Person13_37,cloudSign|eyeball|sign|blueSunglasses|hairClip|lavenderDie|yellowBag,label|label|label|label|label|label|label,cloudSign:0.25473;eyeball:0.50292;sign:0.5453100000000001;blueSunglasses:0.41131;hairClip:0.48931;lavenderDie:0.56919;yellowBag:0.40381999999999996
2019-01-14,Person13_4,cloudSign|cupcakePaper|eyeball|pinkCandle|blueSunglasses|stickerBox|yellowBag,label|label|label|label|label|label|label,cloudSign:0.43723999999999996;cupcakePaper:0.26961;eyeball:0.36689;pinkCandle:0.34561;blueSunglasses:0.3192;stickerBox:0.37487;yellowBag:0.34652
2019-01-14,Person13_5,cloudSign|cupcakePaper|eyeball|metalKey|partyFavor|pinkCandle|blueSunglasses|hairClip|lavenderDie,label|label|label|label|label|label|label|label|label,cloudSign:0.49423;cupcakePaper:0.26459;eyeball:0.35311;metalKey:0.29724;partyFavor:0.34992;pinkCandle:0.28778000000000004;blueSunglasses:0.41018999999999994;hairClip:0.4445;lavenderDie:0.25176
2019-01-14,Person13_6,birdCall|metalKey|pinkCandle|sign|blueSunglasses|hairClip,label|label|label|label|label|label,birdCall:0.47983000000000003;metalKey:0.30291;pinkCandle:0.39511999999999997;sign:0.44142;blueSunglasses:0.42712;hairClip:0.62551
2019-01-14,Person13_7,cloudSign|pumpkinNotes|trophy,label|label|label,cloudSign:0.37934;pumpkinNotes:0.40116;trophy:0.29256
2019-01-14,Person13_8,cupcakePaper|eyeball|pinkCandle|sign,label|label|label|label,cupcakePaper:0.25781;eyeball:0.35543;pinkCandle:0.2675;sign:0.45363000000000003
2019-01-14,Person13_9,cloudSign|eyeball|paperPlate|pumpkinNotes|silverStraw|blueSunglasses|stickerBox,label|label|label|label|label|label|label,cloudSign:0.36574;eyeball:0.3109;paperPlate:0.28308;pumpkinNotes:0.48046000000000005;silverStraw:0.28841;blueSunglasses:0.30401;stickerBox:0.49712
2019-01-15,Person14_1,birdCall|cloudSign|eyeball|sign|blueSunglasses,label|label|label|label|label,birdCall:0.28026999999999996;cloudSign:0.26069000000000003;eyeball:0.31266;sign:0.31406;blueSunglasses:0.25643
2019-01-15,Person14_10,canadaPencil|metalKey|pinkCandle,label|label|label,canadaPencil:0.27714;metalKey:0.31742;pinkCandle:0.30751999999999996
2019-01-15,Person14_11,pumpkinNotes|blueSunglasses,label|label,pumpkinNotes:0.79328;blueSunglasses:0.28801
2019-01-15,Person14_12,birdCall|cloudSign|eyeball|pinkCandle|pumpkinNotes|blueSunglasses,label|label|label|label|label|label,birdCall:0.46585;cloudSign:0.45865;eyeball:0.25290999999999997;pinkCandle:0.28196;pumpkinNotes:0.68242;blueSunglasses:0.30517
2019-01-15,Person14_13,birdCall|pinkCandle|sign|yellowBag,label|label|label|label,birdCall:0.32405;pinkCandle:0.31076;sign:0.34536999999999995;yellowBag:0.29971
2019-01-15,Person14_14,eyeball|trophy,label|label,eyeball:0.2564;trophy:0.27529000000000003
