authors,title,abstract,sha,has_full_text,journal,term,license,WHO #Covidence,pmcid,pubmed_id,category,source_x,publish_time,Microsoft Academic Paper ID,doi,full_text_file
"Li, Xin; Luk, Hayes K.H.; Lau, Susanna K.P.; Woo, Patrick C.Y.","Human Coronaviruses: General Features","Abstract Human coronaviruses (HCoVs), including HCoV-229E, HCoV-OC43, HCoV-NL63, and HCoV-HKU1, are traditionally known to cause symptoms of common cold with only moderate clinical impact. Severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV), on the other hand, have strike humans in the past two decades as highly fatal human pathogens leading to considerable mortality and economic loss. This article summaries the updates on the structure, genome organization, replication and clinical features of human coronaviruses. Recent studies also shed light upon the zoonotic origin of emerging human pathogens including SARS-CoV and MERS-CoV, providing insight for future surveillance and intervention.","90798ce4da0c11f8eba3a943743b0a1584ff046a","True","Reference Module in Biomedical Sciences","HCoVs|HCoV|HCoV|HCoV|Middle East|the past two decades","els-covid","","","","NORP|GPE|GPE|GPE|LOC|DATE","Elsevier","2019-12-31","","10.1016/B978-0-12-801238-3.95704-0","custom_license"
"Falsey, Ann Regina","Chapter 9 Respiratory viral infections","Abstract Molecular analysis of respiratory viruses and the host response to both infection and vaccination have transformed our understanding of these ubiquitous pathogens. Polymerase chain reaction for the rapid and accurate diagnosis of viral infections has led to a better understanding of the epidemiology and impact of many common respiratory viruses and resulted in better patient care. Over the past decade a number of new respiratory viruses including human metapneumovirus and new coronaviruses have been discovered using molecular techniques such as random primer amplification, pan-viral array and next generation sequencing. Analysis of the host transcriptional response during respiratory viral infection using in-vitro, animal models and natural and experimental human challenge have furthered the understanding of the mechanisms and predictors of severe disease and may identify potential therapeutic targets to prevent and ameliorate illness.","77c57098366ae4e9b45775d94e3877f9d5f3034c","True","Genomic and Precision Medicine","the past decade","els-covid","","","","DATE","Elsevier","2019-12-31","","10.1016/B978-0-12-801496-7.00009-5","custom_license"
"Fischer, Robert J.; Halibozek, Edward P.; Walters, David C.","11 Contingency Planning Emergency Response and Safety","Abstract Although there is some recognition of the importance of contingency planning, far too few firms have anything beyond a contingency plan that sits on a shelf in the CEO’s office. Even in those companies with crisis management teams (CMTs), the members often do not meet to plan or even discuss how the team would function in an actual situation. The most progressive firms offer the team members, fire brigades, and employees an opportunity to preplan (contingency planning) through mock exercises that replicate industrial disasters, explosions, fires, or tornado alerts. The end result is a better-prepared team of employees ready to respond to any contingency. Unfortunately, many firms have not gone this far. Contingency planning may not have been a traditional security process, but in today’s global business environment the security organization is assuming a much greater role and responsibility for its implementation. Even prior to the events of September 11, 2001, many organizations were becoming more conscious of the need to have contingency plans. A complete contingency planning program has three major elements: 1. Emergency Response 2. Crisis Management 3. Business Continuity: Business Recovery and Business Resumption Emergency response activities involve responding to an incident, crisis or disaster and managing that incident at the scene. Should an incident escalate to the crisis or disaster stage, a CMT should take over managing the crisis to its conclusion. If the crisis or disaster does cause damage to a company building, facility or operation, the CMT should hand over to a business continuity team the responsibility of recovery and resumption. After a disaster, it is critical that the business recovers and resumes normal (pre-event) operations as soon as possible. Customers, shareholders and stakeholders expect nothing less. Executive management has the obligation to ensure contingency planning is properly considered and addressed within their company. The consequences of not planning for contingencies can be catastrophic with numerous liability issues.","5e711305435f5ce3508c3cc9b4bba6ef4f0b2d9a","True","Introduction to Security","today|September 11, 2001|three|1|2|3|Business Continuity: Business Recovery and Business Resumption|CMT|CMT","els-covid","","","","DATE|DATE|CARDINAL|CARDINAL|CARDINAL|CARDINAL|ORG|ORG|ORG","Elsevier","2019-12-31","","10.1016/B978-0-12-805310-2.00011-1","custom_license"
"Gonzalez-Martin, Cristina","Airborne Infectious Microorganisms☆","Abstract Inhalation exposes the upper and lower respiratory tracts of humans to a variety of airborne particles and vapors. Airborne transmission of pathogenic microorganisms to humans from the environment, animals, or other humans can result in disease. Inhalation is an important route of exposure as the lung is more susceptible to infection than the gastrointestinal tract. Ingested microorganisms must pass through the acidic environment of the stomach before they can colonize tissue while inhaled microorganisms are deposited directly on the moist surfaces of the respiratory tract. Inhalation of microbial aerosols can elicit adverse human health effects including infection, allergic reaction, inflammation, and respiratory disease. Following inhalation, infectious viruses, bacteria, and fungi can establish in host cells of the respiratory tract. Some are translocated and infect the gastrointestinal tract and other tissues. This article discusses human viral, bacterial, and fungal diseases transmitted via aerosols. Viral diseases presented are influenza, severe acute respiratory syndrome (SARS), Middle East respiratory syndrome (MERS), enteric viruses related infections, hantavirus disease, measles, and varicella. Bacterial diseases are Legionnaires’ disease, tuberculosis, and nontubercule mycobacterial disease. Exposure to some Gram-negative and Gram-positive bacteria, endotoxin, and actinomycetes when dispersed through the air can result in disease following inhalation. Fungal diseases included are histoplasmosis, coccidiomycosis, blastomycosis, cryptococcosis, and aspergillosis. The threat of bioterrorism with airborne infectious agents is also briefly presented.","7b25f1ff9151b6c69e88a9ebacbe045c65eff1ae","True","Encyclopedia of Microbiology","Airborne|Middle East|Legionnaires’|Gram|Gram","els-covid","","","","PERSON|LOC|PERSON|PERSON|PERSON","Elsevier","2019-12-31","","10.1016/B978-0-12-809633-8.13002-X","custom_license"
"Fleming, Theodore H.","Bat Migration ☆","Abstract This article summarizes current knowledge about the migratory behavior of temperate and tropical bats. A close association between migration and hibernation exists in temperate, but not in tropical, bats. Compared with birds, bats are relatively short-distance migrators, with maximum migration distances being <2000 km; intercontinental migration is likely to be uncommon in bats. Migratory bats have lower levels of population subdivision and larger genetically effective population sizes than nonmigratory bats. A variety of methods, including banding, genetic analyses, stable isotope analyses, and tracking with radio or satellite transmitters, are currently being used to study bat migration. The conservation of migratory bats poses special challenges that require national and international efforts. Migratory bats sometimes harbor pathogens that can be transmitted to humans. Overall, the beneficial aspects of migratory bats, including control of insect populations and dispersal of pollen and seeds over broad areas, far outweigh their negative aspects.","33ea9c98c7d8c301024203604335c77ebae7b606","True","Encyclopedia of Animal Behavior","2000","els-covid","","","","DATE","Elsevier","2019-12-31","","10.1016/B978-0-12-809633-8.20764-4","custom_license"
"Liu, Qiang; Gerdts, Volker","Transmissible Gastroenteritis Virus of Pigs and Porcine Epidemic Diarrhea Virus","Abstract TGEV and PEDV are porcine coronaviruses with typical coronavirus virion structures and replication cycles. Both viruses cause diarrhea in pigs with similar clinical symptoms. Disease severity is inversely related to the age of animals. While TGEV infections are currently under control, recent emergence of virulent PEDV strains results in significant mortality. No effective treatments are available once animals are infected. Detection of viral antigen and/or genomic RNA is required for diagnosis. Prevention measures include enhanced biosecurity and vaccination with the latter being the most effective approach. Commercial vaccines for both viruses are available and numerous experimental vaccines are in development.","0428e40ab214b4133e308633148ef1e469519d3f","True","Reference Module in Life Sciences","TGEV|TGEV|RNA","els-covid","","","","ORG|ORG|ORG","Elsevier","2019-12-31","","10.1016/B978-0-12-809633-8.20928-X","custom_license"
"Vogel, Hans-Arthur","1 The nature of airports","Abstract This chapter presents the historic development of global air transportation. As it is the main function to accommodate this traffic growth, airports have advanced in response to it. First, their role within the air transport system will be described. A picture of their social, environmental, economic and political impact will be given next. This chapter’s feature is on airport products and services.","d978e72cb4897f87df04d2a747a978fa687660cd","True","Foundations of Airport Economics and Finance","First","els-covid","","","","ORDINAL","Elsevier","2019-12-31","","10.1016/B978-0-12-810528-3.00001-9","custom_license"
"Vogel, Hans-Arthur","5 Operating environment","Abstract The operating environment of an airport is affecting its financial performance. This will be worked out for different regions and size brackets, based on empirical airport data provided by ACI’s economic surveys. This chapter will also investigate influencing factors such as major traffic flows and their consequences for airport demand as well as site-specific circumstances, including aviation policy. Due to their importance for the economic development of a region, airports have frequently been subject to political activities. This chapter’s feature is on potential effects of aviation policy on regional airports. It is focusing on the European Commission’s 2014 guidelines on state aid and their amendment as of May 2017.","36604ca8d903fb68487993a2933a749dd9c32cd5","True","Foundations of Airport Economics and Finance","ACI|the European Commission’s|2014|May 2017","els-covid","","","","GPE|ORG|DATE|DATE","Elsevier","2019-12-31","","10.1016/B978-0-12-810528-3.00005-6","custom_license"
"Bowen, John","Chapter 8 Lions and Tigers: LCCs in Southeast Asia","Abstract Southeast Asia is home to one of the largest budget airline sectors, with low-cost carriers (LCCs) accounting for nearly half of seat capacity on scheduled flights in 2018. The most prolific no-frills carrier in the region is Malaysia-based AirAsia, which has affiliates in Thailand, Indonesia, the Philippines, and beyond. Similarly, Indonesia's Lion Air has formed a family of related carriers across much of the region. These and other LCCs have prospered partly through their political connections, illustrating that even in a liberalized region the power of the state to shape the industry remains formidable. A challenge for the industry is the lack of secondary airports and of strained capacity at the region's principal hubs; pilots and other skilled industry personnel are in short supply too. Nevertheless, the development of long-haul budget airlines, including Singapore Airlines’ subsidiary Scoot and several long-haul affiliates of AirAsia signals the maturity of the LCC sector.","9afcb07e2677a9e42e0fe8302e23fe588a4fb6d0","True","Low-Cost Carriers in Emerging Countries","Southeast Asia|nearly half|2018|Malaysia|AirAsia|Thailand|Indonesia|Philippines|Indonesia|Lion Air|Singapore|Scoot|AirAsia|LCC","els-covid","","","","LOC|CARDINAL|DATE|GPE|GPE|GPE|GPE|GPE|GPE|ORG|GPE|ORG|GPE|ORG","Elsevier","2019-12-31","","10.1016/B978-0-12-811393-6.00008-3","custom_license"
"Mätz-Rensing, Kerstin; Bleyer, Martina","Chapter 15 Viral Diseases of Common Marmosets","Abstract Common marmosets are highly susceptible to several viral pathogens that exist as latent or subclinical infections in their natural reservoir hosts but cause severe disease or death when interspecies transmission occurs. Examples of such viruses in marmosets are herpes simplex virus infections, parainfluenza virus 1 infections, and measles acquired from humans, Saimiriine herpesvirus 1 infection after transmission from squirrel monkeys, and infections with lymphocytic choriomeningitis virus originating from mice. Other relevant viral infections causing spontaneous disease in common marmoset colonies include cowpox virus infections and paramyxovirus saguinus infections. Callitrichine herpesvirus 3 is a newly recognized lymphocryptovirus that is associated with the development of intestinal lymphoproliferative disease in common marmosets. Most viral pathogens causing disease in common marmosets are potential zoonotic agents, and protective measures should be implemented when handling these small New World monkeys.","866751c51397d3b80b2b7f1735947c8c5096da2f","True","The Common Marmoset in Captivity and Biomedical Research","1|Saimiriine|1|colonies|3|New World","els-covid","","","","CARDINAL|ORG|CARDINAL|GPE|CARDINAL|ORG","Elsevier","2019-12-31","","10.1016/B978-0-12-811829-0.00015-7","custom_license"
"Mansfield, Keith G.; Fox, James G.","Chapter 16 Bacterial Diseases","Abstract Common marmosets are susceptible to a number of bacterial infections, which may be enzootic, causing sporadic but occasionally severe disease, or which may result in epizootics associated with more severe colony morbidity and mortality. The spectrum of these diseases often differs from those observed in macaque species, and veterinarians caring for common marmosets need to be aware of these unique susceptibilities. In formulating differential diagnoses for sick or diseased animals, it should be recognized that diseases once common in imported animals in the 1960s and 1970s are now rare. It is also important to recognize that housing and sanitation conditions can influence exposure to potentially pathogenic bacteria. In a zoological setting where mixed- or free-ranging exhibits are utilized, animals may be exposed to many more potential pathogens than would be the case in animals raised in a barrier facility.","420d950e49c28d2a2ce7f0795f578c18f12e1d67","True","The Common Marmoset in Captivity and Biomedical Research","1960s|1970s","els-covid","","","","DATE|DATE","Elsevier","2019-12-31","","10.1016/B978-0-12-811829-0.00016-9","custom_license"
"Baker, David G.","Chapter 17 Parasitic Diseases","Abstract Captive marmosets, whether in zoos or biomedical research facilities, may become infected or infested with a variety of internal or external parasites. Modern animal housing and husbandry practices have greatly reduced the prevalence of parasitism, particularly for those parasites requiring an intermediate host. In this chapter, the author discusses selected parasitic diseases of captive marmosets. This chapter is organized phylogenetically. No attempt is made to cover all of the internal and external parasites historically reported, no matter how infrequently. Similarly, no attempt is made to cover parasites infecting or infesting other New World primates and thus potentially found in or on marmosets. The author has included those parasitisms most likely to be observed in modern animal facilities.","098fed44915745bc6addbaa5d8d8821cafbca7bd","True","The Common Marmoset in Captivity and Biomedical Research","New World","els-covid","","","","ORG","Elsevier","2019-12-31","","10.1016/B978-0-12-811829-0.00017-0","custom_license"
"Patterson, Jean L.; Lanford, Robert E.","Chapter 28 Experimental Infections of the Common Marmoset (Callithrix jacchus)","Abstract Interest in the use of marmosets for experimental infectious disease has dramatically increased in the last decade. These animals are native to the Atlantic coastal forests in northeastern Brazil. The majority of experimental animals come from the National Primate Research Centers and other breeding facilities. They are advantageous because of their relative small size, weighting 350–400g as adults, their life span is compact compared with other nonhuman primate (NHP), and they produce offspring by 3years of age. They are free of Herpes B virus and, it is believed, to date, other dangerous human pathogens (Abbot et al., 2003) [1]. We describe here the experimental infections of marmosets to human pathogens. While it is always interesting to compare various NHPs with each other, the importance of an animal model is always in comparing its similarities to human infections.","6f03d5d43034e160c6a8d5a66be1fce79fd7cb23","True","The Common Marmoset in Captivity and Biomedical Research","the last decade|Atlantic|Brazil|the National Primate Research Centers|350–400|NHP|3years|Herpes B|Abbot|2003|1","els-covid","","","","DATE|LOC|GPE|ORG|CARDINAL|ORG|CARDINAL|PRODUCT|GPE|DATE|CARDINAL","Elsevier","2019-12-31","","10.1016/B978-0-12-811829-0.00028-5","custom_license"
