publish_time,url,has_pdf_parse,sha,pmcid,pubmed_id,has_pmc_xml_parse,authors,journal,title,abstract,Microsoft Academic Paper ID,full_text_file,category,source_x,license,WHO #Covidence,term,doi
2020-04-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7149288/,True,4be1ebd2b2c872ce8c2d517af568b3fb4f2b79d1,PMC7149288,,False,"Kluge, Stefan; Janssens, Uwe; Welte, Tobias; Weber-Carstens, Steffen; Marx, Gernot; Karagiannidis, Christian",,Empfehlungen zur intensivmedizinischen Therapie von Patienten mit COVID-19*,,,custom_license,PERSON,PMC,no-cc,,Therapie von Patienten,10.1007/s15004-020-8072-x
2020-04-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7149290/,False,,PMC7149290,,False,"Trümper, Lorenz",,COVID-19 bei Krebspatienten: Achtsamkeit und Abwägung sind erforderlich!,,,custom_license,ORG|PERSON,PMC,no-cc,,Krebspatienten:|Abwägung,10.1007/s15004-020-8073-9
2020-04-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7149292/,False,,PMC7149292,,False,"Aßfalg, Anika",,Was Krebspatienten jetzt wissen wollen,,,custom_license,GPE,PMC,no-cc,,Krebspatienten,10.1007/s15004-020-8071-y
2020-04-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7149294/,True,7e2c3ac6583fa533b9269480c3c18736f505e659,PMC7149294,,False,"Papachristofilou, Alexandros; Finazzi, Tobias; Kohler, Goetz; Dott, Christian; Zimmermann, Frank",,COVID-19-Pandemie: Wie können sich onkologische Kliniken wappnen?*,,,custom_license,ORG,PMC,no-cc,,Kliniken,10.1007/s15004-020-8074-8
2020-04-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7149295/,False,,PMC7149295,,False,"Zurstraßen, Arno",,Die Digitalisierung verändert Praxen und Kliniken signifikant!,,,custom_license,PERSON|PERSON|FAC,PMC,no-cc,,Die Digitalisierung|Praxen|Kliniken,10.1007/s15004-020-8069-5
2020-04-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7149296/,True,bf0678915601677166b022f7580b466ba7944e89,PMC7149296,,False,"Freund, Wolfgang",,COVID-19: Risikoabschätzung und Planungsgrundlagen für unsere Praxen,,,custom_license,ORG|ORG,PMC,no-cc,,Planungsgrundlagen|Praxen,10.1007/s15016-020-7425-x
2020-04-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7149297/,False,,PMC7149297,,False,"Carl, Gunther",,"Auswirkungen auf nervenärztliche, neurologische, psychiatrische Praxen",,,custom_license,ORG|PERSON,PMC,no-cc,,Auswirkungen|Praxen,10.1007/s15016-020-7431-z
2020-04-13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153358/,True,06dd6bc406a0c9bbebd4580e8340be5f3444c386,PMC7153358,,True,"Queiroz, Natália Sousa Freitas; Barros, Luísa Leite; de Azevedo, Matheus Freitas Cardoso; Oba, Jane; Sobrado, Carlos Walter; de Sousa Carlos, Alexandre; Milani, Luciane Reis; Sipahi, Aytan Miranda; Damião, Aderson Omar Mourão Cintra",Clinics (Sao Paulo),Management of inflammatory bowel disease patients in the COVID-19 pandemic era: a Brazilian tertiary referral center guidance,"The world is fighting the COVID-19 outbreak and health workers, including inflammatory bowel diseases specialists, have been challenged to address the specific clinical issues of their patients. We hereby summarize the current literature in the management of inflammatory bowel disease (IBD) patients during the COVID-19 pandemic era that support the rearrangement of our IBD unit and the clinical advice provided to our patients.",,comm_use_subset,ORG|CARDINAL|ORG|ORG|NORP,PMC,cc-by,,COVID-19|COVID-19|IBD|COVID-19|Brazilian,10.6061/clinics/2020/e1909
2020-04-13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153362/,True,e478e7ce80c241c86d8b3b292b1368c5081c1932,PMC7153362,,True,"Carlotti, Ana Paula de Carvalho Panzeri; de Carvalho, Werther Brunow; Johnston, Cíntia; Rodriguez, Isadora Souza; Delgado, Artur Figueiredo",Clinics (Sao Paulo),COVID-19 Diagnostic and Management Protocol for Pediatric Patients,"This review aims to verify the main epidemiologic, clinical, laboratory-related, and therapeutic aspects of coronavirus disease 2019 (COVID-19) in critically ill pediatric patients. An extensive review of the medical literature on COVID-19 was performed, mainly focusing on the critical care of pediatric patients, considering expert opinions and recent reports related to this new disease. Experts from a large Brazilian public university analyzed all recently published material to produce a report aiming to standardize the care of critically ill children and adolescents. The report emphasizes on the clinical presentations of the disease and ventilatory support in pediatric patients with COVID-19. It establishes a flowchart to guide health practitioners on triaging critical cases. COVID-19 is essentially an unknown clinical condition for the majority of pediatric intensive care professionals. Guidelines developed by experts can help all practitioners standardize their attitudes and improve the treatment of COVID-19.",,comm_use_subset,DATE|ORG|ORG|NORP|ORG|PERSON|CARDINAL|ORG|NORP,PMC,cc-by,,2019|COVID-19|COVID-19|Brazilian|COVID-19|COVID-19|COVID-19|COVID-19 Diagnostic and|Pediatric,10.6061/clinics/2020/e1894
2020-04-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153724/,True,57decf2a8cfce913c343e78da185234952bb91d0,PMC7153724,,True,"Maddalena, Giovanni; Gili, Guido",The History and Theory of Post-Truth Communication,What Are We Talking About?,"In this chapter, we present a few definitions of post-truth and explain why the human capacity for lying and influencing others with false information, which is not new in human history, has given birth to alarming new dangers in recent years. We also set forth our path for describing the history and theoretical claims underlying the phenomenon of post-truth, accounting briefly for the social, political, and economic changes posed by individualization, bureaucratization, and globalization issues that will not be addressed in the remainder of the book.",,custom_license,DATE,PMC,no-cc,,recent years,10.1007/978-3-030-41460-3_1
2020-04-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153916/,False,,PMC7153916,,True,"Jelinek, Helmut; Kühne, Roland",Wasser Abfall,Verleihung des BWK Umweltpreises NRW 2020 an das Projekt Schüler bauen für Haiti,,,custom_license,DATE|GPE,PMC,no-cc,,2020|Haiti,10.1007/s35152-020-0201-1
2020-04-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7154063/,True,35bae84d73726ef3cac95026a787e2b055433150,PMC7154063,,True,"Edrada, Edna M.; Lopez, Edmundo B.; Villarama, Jose Benito; Salva Villarama, Eumelia P.; Dagoc, Bren F.; Smith, Chris; Sayo, Ana Ria; Verona, Jeffrey A.; Trifalgar-Arches, Jamie; Lazaro, Jezreel; Balinas, Ellen Grace M.; Telan, Elizabeth Freda O.; Roy, Lynsil; Galon, Myvie; Florida, Carl Hill N.; Ukawa, Tatsuya; Villaneuva, Annavi Marie G.; Saito, Nobuo; Nepomuceno, Jean Raphael; Ariyoshi, Koya; Carlos, Celia; Nicolasora, Amalea Dulcene; Solante, Rontgene M.",Trop Med Health,First COVID-19 infections in the Philippines: a case report,"BACKGROUND: The novel coronavirus (COVID-19) is responsible for more fatalities than the SARS coronavirus, despite being in the initial stage of a global pandemic. The first suspected case in the Philippines was investigated on January 22, 2020, and 633 suspected cases were reported as of March 1. We describe the clinical and epidemiological aspects of the first two confirmed COVID-19 cases in the Philippines, both admitted to the national infectious disease referral hospital in Manila. CASE PRESENTATION: Both patients were previously healthy Chinese nationals on vacation in the Philippines travelling as a couple during January 2020. Patient 1, a 39-year-old female, had symptoms of cough and sore throat and was admitted to San Lazaro Hospital in Manila on January 25. Physical examination was unremarkable. Influenza B, human coronavirus 229E, Staphylococcus aureus and Klebsiella pneumoniae were detected by PCR on initial nasopharyngeal/oropharyngeal (NPS/OPS) swabs. On January 30, SARS-CoV-2 viral RNA was reported to be detected by PCR on the initial swabs and she was identified as the first confirmed COVID-19 case in the Philippines. Her symptoms resolved, and she was discharged. Patient 2, a 44-year-old male, had symptoms of fever, cough, and chills. Influenza B and Streptococcus pneumoniae were detected by PCR on initial NPS/OPS swabs. He was treated for community-acquired pneumonia with intravenous antibiotics, but his condition deteriorated and he required intubation. On January 31, SARS-CoV-2 viral RNA was reported to be detected by PCR on the initial swabs, and he was identified as the 2nd confirmed COVID-19 infection in the Philippines. On February 1, the patient’s condition deteriorated, and following a cardiac arrest, it was not possible to revive him. He was thus confirmed as the first COVID-19 death outside of China. CONCLUSIONS: This case report highlights several important clinical and public health issues. Despite both patients being young adults with no significant past medical history, they had very different clinical courses, illustrating how COVID-19 can present with a wide spectrum of disease. As of March 1, there have been three confirmed COVID-19 cases in the Philippines. Continued vigilance is required to identify new cases.",,comm_use_subset,ORDINAL|GPE|DATE|CARDINAL|DATE|ORDINAL|CARDINAL|GPE|GPE|NORP|GPE|DATE|CARDINAL|ORG|GPE|DATE|CARDINAL|ORG|PERSON|ORG|DATE|ORG|PERSON|GPE|ORG|NORP|ORG|DATE|ORG|DATE|GPE|DATE|ORDINAL|GPE|ORG|DATE|CARDINAL|GPE|ORG|GPE,PMC,cc-by,,"first|Philippines|January 22, 2020|633|March 1|first|two|Philippines|Manila|Chinese|Philippines|January 2020|1|San Lazaro Hospital|Manila|January 25|229E|Staphylococcus|Klebsiella|NPS/OPS|January 30|RNA|COVID-19|Philippines|Influenza|Streptococcus|NPS/OPS|January 31|RNA|2nd|Philippines|February 1|first|China|COVID-19|March 1|three|Philippines|First COVID-19|Philippines",10.1186/s41182-020-00203-0
2020-04-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7154065/,True,60900bbdadcb3dceb21c43f29fb27aac7dfb453c,PMC7154065,,True,"Wolkewitz, Martin; Puljak, Livia",BMC Med Res Methodol,Methodological challenges of analysing COVID-19 data during the pandemic,,,comm_use_subset,ORG,PMC,cc-by,,COVID-19,10.1186/s12874-020-00972-6
2020-04-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7154066/,True,207999abec39f4c58270be58e3e8f160f05c72de,PMC7154066,,True,"Rico-Mesa, Juan Simon; White, Averi; Anderson, Allen S.",Curr Cardiol Rep,Outcomes in Patients with COVID-19 Infection Taking ACEI/ARB,"PURPOSE OF REVIEW: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is the virus responsible for the aggressive coronavirus disease (COVID-19) pandemic. Recently, investigators have stipulated that COVID-19 patients receiving angiotensin-converting-enzyme inhibitors (ACEI) may be subject to poorer outcomes. This editorial presents the available evidence to guide treatment practices during this pandemic. RECENT FINDINGS: Recent studies from Wuhan cohorts provide valuable information about COVID-19. A cohort with 52 critically ill patients revealed cardiac injury in 12% of patients. Worse outcomes appear to be more prevalent in patients with hypertension and diabetes mellitus (DM), possibly due to overexpression of angiotensin-converting enzyme 2 (ACE2) receptor in airway alveolar epithelial cells. Investigators suspect that SARS-CoV-2 uses the ACE2 receptor to enter the lungs in a mechanism similar to SARS-CoV. Several hypotheses have been proposed to date regarding the net effect of ACEI/ARB on COVID-19 infections. Positive effects include ACE2 receptor blockade, disabling viral entry into the heart and lungs, and an overall decrease in inflammation secondary to ACEI/ARB. Negative effects include a possible retrograde feedback mechanism, by which ACE2 receptors are upregulated. SUMMARY: Even though physiological models of SARS-CoV infection show a theoretical benefit of ACEI/ARB, these findings cannot be extrapolated to SARS-CoV-2 causing COVID-19. Major cardiology scientific associations, including ACC, HFSA, AHA, and ESC Hypertension Council, have rejected these correlation hypotheses. After an extensive literature review, we conclude that there is no significant evidence to support an association for now, but given the rapid evolvement of this pandemic, findings may change.",,custom_license,CARDINAL|CARDINAL|ORG|PERSON|GPE|ORG|CARDINAL|PERCENT|DATE|ORG|ORG|ORG|PERSON|ORG|ORG|ORG|ORG|ORG|ORG|ORG,PMC,no-cc,,2|COVID-19|ACEI|RECENT FINDINGS|Wuhan|COVID-19|52|12%|enzyme 2|ACEI/ARB|COVID-19|ACEI/ARB|CoV|ACEI/ARB|COVID-19|ACC|HFSA|AHA|ESC Hypertension Council|ACEI/ARB,10.1007/s11886-020-01291-4
2020-04-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7154566/,True,ffb80089bf413c89d1972ba44a38105139b34f24,PMC7154566,,True,"Fu, Binqing; Xu, Xiaoling; Wei, Haiming",J Transl Med,Why tocilizumab could be an effective treatment for severe COVID-19?,"A severe pneumonia-associated respiratory syndrome caused by a new coronavirus was identified in December 2019 (COVID-19), spread rapidly and has become a world-wide public health challenge. About 25% of COVID-19 patients experienced severe complications including acute respiratory distress syndrome (ARDS), and even progressed into an intensive care unit (ICU) admission and died. The exploration for the mortality causes and advancing novel therapeutic development of severe COVID-19 is crucial at the moment. The biopsy samples analysis at autopsy suggested that increased alveolar exudate caused by aberrant host immune response and inflammatory cytokine storm probably impedes alveolar gas exchange and contributes to the high mortality of severe COVID-19 patients. Our research has identified that pathogenic T cells and inflammatory monocytes incite inflammatory storm with large amount of interleukin 6, therefore monoclonal antibody that targets the IL-6 pathways may potentially curb inflammatory storm. Moreover, Tocilizumab treatment that blocking IL-6 receptors showed inspiring clinical results including temperature returned to normal quickly and respiratory function improved. Therefore, we suggest that Tocilizumab is an effective treatment in severe patients of COVID-19 to calm the inflammatory storm and reduce mortality.",,comm_use_subset,DATE|PERCENT|ORG|ORG|ORG|PERSON|CARDINAL|ORG|ORG|ORG|PERSON,PMC,cc-by,,December 2019|About 25%|ARDS|ICU|COVID-19|COVID-19|6|IL-6|Tocilizumab|COVID-19|COVID-19,10.1186/s12967-020-02339-3
2020-04-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7154570/,True,503e1f3f46f9ab6c560d68ff75a56ec5c779c7f1,PMC7154570,,True,"Buonaguro, Franco Maria; Puzanov, Igor; Ascierto, Paolo Antonio",J Transl Med,Anti-IL6R role in treatment of COVID-19-related ARDS,,,comm_use_subset,ORG,PMC,cc-by,,ARDS,10.1186/s12967-020-02333-9
2020-04-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7155150/,False,,PMC7155150,,True,"Göbel, Hartmut",MMW Fortschr Med,Diskussion um NSAR in Zeiten von Covid-19: Fiebersenkung und Schmerztherapie,"Im Zusammenhang mit der Corona-Pandemie tauchten alarmierende Meldungen auf, die vor dem Einsatz von Ibuprofen und anderen NSAR bei einer vermuteten SARS-CoV-2-Infektion warnen. Diese Medikamente, so wird spekuliert, könnten den Verlauf der Infektion verschlimmern. Was hinter solchen Spekulationen steckt und wie der aktuelle Stand der Empfehlungen ist, erläutert der Schmerzexperte Prof. Hartmut Göbel, Kiel.",,custom_license,GPE|PERSON|ORG|PERSON|PRODUCT|PERSON|PERSON|PERSON|WORK_OF_ART|PERSON|PERSON|PERSON|PERSON|ORG,PMC,no-cc,,Zusammenhang|Corona-Pandemie|Meldungen|Einsatz von Ibuprofen|NSAR|Diese Medikamente|Verlauf|Spekulationen|Stand der Empfehlungen|Schmerzexperte|Hartmut Göbel|Zeiten von Covid-19:|Fiebersenkung|Schmerztherapie,10.1007/s15006-020-0372-4
2020-04-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7155153/,True,867b434d186929ae1cb49c200674cd2daa1c8056,PMC7155153,,True,"Schäfer, Harald",MMW Fortschr Med,Außerklinische Beatmung: Lungenerkrankungen,"In den letzten Jahren ist eine deutliche und kontinuierliche Zunahme von meist schwerkranken Patienten zu konstatieren, die außerhalb einer Klinik beatmet werden. Diese Patienten stellen eine wachsende Herausforderung für alle an der Versorgung Beteiligten dar. In der Regel erfolgt die ärztliche Weiterbetreuung und die Verordnung der benötigten Hilfsmittel durch Hausärzte. In diesem Beitrag lesen Sie, was ein Hausarzt aus dem Bereich der Beatmungsmedizin wissen sollte.",,custom_license,NORP|PERSON|PRODUCT|PERSON|NORP|ORG|ORG|PERSON|PERSON|PERSON|ORG|ORG|ORG|PERSON|PERSON,PMC,no-cc,,Jahren|Zunahme von|Patienten|Klinik|Diese|Herausforderung|Versorgung Beteiligten|Regel|Weiterbetreuung|Verordnung|Hilfsmittel|Hausärzte|Hausarzt|Beatmungsmedizin|Außerklinische Beatmung,10.1007/s15006-020-0012-z
2020-04-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7155157/,False,,PMC7155157,,True,"Hess, Luise",MMW Fortschr Med,Hausarztleben im Bann des Coronavirus: Mehrarbeit und Anerkennung,,,custom_license,PERSON|PERSON,PMC,no-cc,,Mehrarbeit|Anerkennung,10.1007/s15006-020-0383-1
2020-04-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7155158/,False,,PMC7155158,,True,"Zimmermann, Gerd W.",MMW Fortschr Med,Finanzieller Schutzschild für Praxen mit Corona-Minus: Entlastungsgesetz,"Ein neues Bundesgesetz soll die Honorarverluste aufgrund der Coronavirus-Pandemie abfedern. Die Kassen werden verpflichtet, den KVen die volle Gesamtvergütung zu überweisen. Fraglich ist, ob das Geld die richtigen Praxen erreichen wird.",,custom_license,PRODUCT|NORP|ORG|ORG|PERSON|PERSON|PERSON|PERSON|ORG|FAC|GPE,PMC,no-cc,,Bundesgesetz|Honorarverluste|Coronavirus-Pandemie|KVen|Gesamtvergütung|Geld|Praxen|Finanzieller Schutzschild|Praxen|Corona-Minus|Entlastungsgesetz,10.1007/s15006-020-0380-4
2020-04-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7155159/,False,,PMC7155159,,True,"Schellong, Julia",MMW Fortschr Med,Covid-19-Pandemie: Das macht sie mit der Psyche,,,custom_license,PERSON|ORG,PMC,no-cc,,Das|Psyche,10.1007/s15006-020-0364-4
