id,P53KO-O1,p53KO-O2,p53KO-O-CAS1,p53KO-O-CAS2,p53KO-O-RAS1,p53KO-O-RAS2,WT-O1,WT-O2,pc_P53KO-O1,pc_p53KO-O2,pc_p53KO-O-CAS1,pc_p53KO-O-CAS2,pc_p53KO-O-RAS1,pc_p53KO-O-RAS2,pc_WT-O1,pc_WT-O2,logFC,logCPM,PValue,FDR
chr18_0610009O20Rik,1114,1332,2223,1842,3092,2258,1916,1827,1447.305801,1386.844156,1673.137436,1607.093814,1729.080247,2110.912582,2799.926339,2691.379092,-0.210948764,4.891212945,0.434072109,0.681211401
chr2_0610010B08Rik,13827,17633,19088,13915,16201,8925,5493,5484,17964.90769,18358.81119,14366.39902,12140.64538,9063.466468,8343.219904,8027.467672,8078.049653,0.454523679,7.53205146,0.088827089,0.189737491
chr11_0610010F05Rik,696,793,821,715,1271,983,508,725,904.1140918,825.6713692,617.8679414,623.8340565,710.2083257,919.0435714,743.5530544,1066.747196,0.478008222,3.624040447,0.07931932,0.173104333
chr11_0610010K14Rik,1126,962,1777,1719,1876,1198,991,659,1462.163315,1001.707946,1337.192037,1499.919916,1049.238916,1119.939015,1446.939976,972.0379993,-0.203848456,4.249693158,0.451262268,0.702707364
chr17_0610011F06Rik,5329,4592,1935,1955,15684,11852,9659,8720,6922.945545,4781.126947,1456.03095,1705.870429,8773.240859,11079.58903,14115.27052,12845.08238,1.888032572,6.888204817,8.27E-12,1.12E-10
chr6_0610030E20Rik,1313,1912,2358,1648,4125,2214,1664,2039,1706.278657,1990.659389,1775.050998,1437.676365,2307.939643,2069.634019,2432.479033,3002.790921,0.202529654,5.00602057,0.451773378,0.703389845
chr4_0610037L13Rik,1094,1119,1298,1211,2327,1496,1153,1018,1420.980768,1165.121413,976.7488773,1056.656631,1301.517391,1398.518558,1684.630796,1499.962942,0.346655674,4.335547069,0.19961441,0.369534431
chr5_0610040J01Rik,1390,1480,833,802,3750,2939,1656,1722,1805.647,1540.969899,626.7258987,699.8327821,2096.966125,2747.559207,2420.254327,2536.415469,1.334792556,4.797379383,1.13E-06,7.75E-06
chr6_1110001J03Rik,3011,1773,1329,1362,3095,2567,2315,1774,3910.448294,1846.182807,999.9176175,1188.491363,1730.377271,2399.833574,3382.276678,2614.034365,1.395005648,5.116866702,3.30E-07,2.49E-06
chr16_1110004E09Rik,652,713,911,953,1721,1270,834,851,846.8593414,742.3899353,685.2886285,831.6571161,962.0840414,1187.315025,1218.928694,1253.483099,0.067060641,3.893258344,0.807033034,1
chr7_1110004F10Rik,2000,2310,4273,4401,4571,3288,2016,1961,2598.371334,2405.111201,3215.632916,3840.02023,2556.512793,3073.769743,2946.131971,2888.695766,-0.495849925,5.498853021,0.064708293,0.146946027
chr13_1110007C09Rik,387,498,951,976,1341,722,359,418,502.9009682,518.4935237,715.425565,851.7070298,750.4839313,674.8857191,525.176012,615.235352,-0.617317792,3.314199648,0.024196976,0.063601033
chr2_1110008F13Rik,6206,6588,3871,3625,6485,4879,4028,5038,8062.859905,6859.228373,2913.24479,3162.871653,3627.1119,4561.089726,5887.273286,7420.293863,1.296172774,6.350719765,1.79E-06,1.19E-05
chr12_1110008L16Rik,362,387,517,504,1177,897,619,719,470.0360458,402.9759718,388.8796507,439.8374067,657.6678233,838.6418,905.1436256,1058.607282,0.074743138,3.310187463,0.792330291,1
chr2_1110008P14Rik,1280,1008,1033,1140,2163,1673,794,731,1662.069326,1049.622803,777.0177295,994.864883,1209.205093,1564.070422,1160.135026,1077.064871,0.613560236,4.190684448,0.023507524,0.062001248
chrX_1110012L19Rik,673,632,743,775,1805,1220,718,789,873.8159203,658.0977193,558.8548922,676.3485167,1009.343504,1140.53203,1049.646773,1161.90532,0.310198376,3.777121489,0.255345253,0.447265443
chr4_1110017D15Rik,3,2,2,1,0,0,0,0,3.80694618,2.099320582,1.523858046,0.84169547,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.181762267,-4.507143009,0.305280684,0.516349166
chr9_1110032A03Rik,1128,1301,1090,1118,3667,2478,2101,1621,1465.417246,1354.578646,820.0402554,975.6018391,2050.987979,2316.535536,3069.563872,2388.639618,0.651135452,4.793897676,0.016255941,0.045390667
chr3_1110032F04Rik,24,14,85,109,0,7,0,0,30.50603545,14.66195279,63.43416003,95.38000834,0,6.680915562,1.39E-17,1.39E-17,-1.822673059,-1.129244295,7.88E-07,5.56E-06
chr2_1110034G24Rik,435,461,540,525,649,483,287,254,564.8597883,480.0248882,406.1940583,458.1576878,362.3795162,451.6128028,419.1021598,374.5427312,0.27327273,2.761573511,0.321009526,0.537399496
chr4_1110037F02Rik,815,1016,2245,2107,1955,1208,979,1055,1058.91777,1057.824605,1689.473084,1838.421198,1093.536665,1129.271648,1431.008933,1553.792016,-0.736899434,4.383618742,0.006501169,0.020268537
chr15_1110038F14Rik,794,842,1114,931,934,533,337,346,1031.285513,876.7088267,838.4597505,812.2563272,522.6123418,498.2316803,492.6336475,509.5929281,0.208642723,3.426713045,0.441979877,0.691038561
chr2_1110051M20Rik,126,124,469,441,207,126,100,63,163.296824,129.1643926,352.8151507,384.8371364,115.7179779,117.7886305,145.0052583,93.95519869,-1.33577536,1.556723642,4.04E-06,2.51E-05
chr12_1110057K04Rik,1678,2260,1593,1351,4701,3481,2215,2885,2180.343538,2353.007307,1198.941576,1178.718673,2629.148879,3254.204023,3237.899728,4248.746905,0.930975541,5.283695893,0.000587551,0.002393074
chr1_1110058L19Rik,2416,1681,1761,1680,2480,1921,1123,874,3137.746256,1750.357251,1325.174368,1465.879477,1386.53647,1795.906625,1640.365557,1288.257078,0.80813704,4.728252256,0.002766225,0.009533702
chr19_1110059E24Rik,1329,1363,1630,1578,2156,1703,752,734,1726.31032,1419.164514,1226.555119,1376.898234,1205.226565,1592.125162,1098.949359,1081.28938,0.272691808,4.367139375,0.31166059,0.525208326
chr9_1110059G10Rik,797,850,1278,1174,1709,1211,597,556,1035.195541,885.0365316,961.723546,1024.359847,955.4942263,1132.14118,872.281804,819.2461751,-0.048856119,3.887405981,0.859272068,1
chr4_1110065P20Rik,1857,1253,1164,1246,2231,1582,1113,1021,2411.400657,1304.746433,875.6615052,1087.321806,1247.508748,1478.959966,1626.30354,1504.254695,0.92038094,4.47023845,0.000691861,0.002770599
chr9_1190002N15Rik,1566,2126,1770,1652,5030,3731,1508,1887,2034.843487,2213.489191,1331.986416,1441.429107,2813.193909,3487.909796,2204.567815,2778.819827,0.615254622,5.137048442,0.022507553,0.059704831
chr13_1190003K10Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr8_1190005I06Rik,478,332,225,197,1033,754,349,387,619.8441715,345.8215265,169.2963186,171.8835938,577.2422688,704.9416219,510.4105875,569.7343077,1.498791611,2.82002042,1.50E-07,1.19E-06
chr10_1190007I07Rik,908,629,522,547,1054,849,532,389,1178.482995,655.0521012,392.5224792,477.4203679,588.6989417,793.7965132,776.5052505,574.0099681,1.074860895,3.385932714,9.58E-05,0.000465752
chr11_1200014J11Rik,474,770,1480,1229,1202,801,612,781,616.4110563,801.6212351,1113.932431,1072.254735,672.0582342,748.8353569,895.2071884,1149.612317,-0.624014918,3.766004643,0.021712079,0.057840979
chr9_1300017J02Rik,18940,18450,15032,14782,63156,48573,35072,33885,24607.4128,19209.52009,11313.20765,12897.37951,35330.18036,45407.10695,51253.77172,49913.35348,0.855833375,8.907073565,0.001432945,0.005293782
chr10_1500009L16Rik,20,31,191,154,0,2,0,0,26.22882722,32.24909997,143.8344989,134.3007011,0,1.905455209,1.39E-17,1.39E-17,-2.241761933,-0.476816935,3.35E-11,4.20E-10
chr2_1500012F01Rik,3440,2274,6625,5928,2295,1663,406,417,4468.071266,2367.779289,4986.055642,5172.192177,1283.245418,1554.69082,593.4720575,614.17462,-0.571678019,5.339102511,0.033128555,0.083334841
chr1_1500015O10Rik,0,1,10,4,14,1,2,2,0.034837604,1.035963743,7.747270146,3.367425381,8.573519512,0.844293032,2.961031986,2.981492451,-3.046164678,-3.490461833,0.005245024,0.016738857
chr17_1600002H07Rik,5004,5812,2481,1863,7487,4749,4281,3033,6501.352296,6051.260002,1867.493337,1625.326922,4188.187162,4439.480508,6255.091906,4468.819249,1.845372449,6.087165348,2.22E-11,2.84E-10
chr10_1600002K03Rik,568,389,638,590,505,388,253,184,736.7366331,405.1725333,480.0346997,514.8255903,281.7414474,362.8182503,368.8189974,272.0004564,0.197600648,2.722711984,0.470491023,0.723895771
chr17_1600012H06Rik,1890,2089,3139,2443,3959,2569,1304,1309,2455.356463,2175.027168,2362.656259,2131.407743,2214.466915,2401.584644,1905.728319,1928.180264,0.042991742,5.078632214,0.873112938,1
chr7_1600014C10Rik,5588,7490,7309,6849,17344,12975,7388,7243,7260.432105,7798.287203,5500.768696,5975.806363,9701.915963,12129.3865,10796.73778,10669.15159,0.391915612,7.06771602,0.142693533,0.28039301
chr17_1600014C23Rik,0,2,10,8,2,0,0,2,0.068482259,2.067468923,7.534113515,6.953280664,1.211984239,0,0.122176426,2.721424077,-2.539327211,-3.78403061,0.012497793,0.03593069
chrX_1600014K23Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr6_1600015I10Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr5_1700001C02Rik,0,2,4,2,14,2,0,0,0.068482259,2.067468923,3.070148756,1.694560425,8.450753092,1.782070575,1.39E-17,1.39E-17,-0.998434333,-3.81732108,0.466586114,0.719262847
chr17_1700001C19Rik,536,527,421,332,1714,1201,867,767,695.9214391,548.7625784,316.9856456,289.5816991,958.3255847,1122.787618,1266.683298,1130.225751,1.035987145,3.603915309,0.000189442,0.000863141
chr14_1700001F09Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr5_1700001J03Rik,2,12,10,6,10,0,2,2,3.064249093,12.42179926,7.635521663,5.158787195,6.22883082,0,2.961031986,2.981492451,0.304172192,-3.202904041,0.740377762,0.980435796
chr12_1700001K19Rik,0,2,15,8,3,2,1,2,0.068482259,2.067468923,11.49745981,6.85757896,1.614720094,1.867564881,1.605935121,2.859118816,-2.881971817,-3.494969988,0.001314506,0.004900284
chr13_1700001L19Rik,2,0,7,8,2,0,0,2,2.442740493,0.011160747,5.152717546,7.021379493,1.211984239,0,0.122176426,2.721424077,-2.274463636,-3.891929811,0.03030791,0.077123448
chr2_1700001O22Rik,6,4,46,22,3,1,2,0,7.603977069,4.193618115,35.15041673,18.9239891,1.722543631,0.916326583,2.706416761,0.124484714,-2.202855819,-2.479925338,1.83E-05,0.000101756
chr11_1700001P01Rik,2,4,4,4,14,0,0,3,2.711998536,4.155460814,2.95936486,3.494584495,8.702746709,0,0.180014438,4.063670184,0.093717508,-3.571412725,1,1
chr6_1700003E16Rik,41,46,34,23,107,60,62,54,53.15019318,47.91591091,25.77714659,19.95121986,59.96680847,56.06144903,90.34047339,79.88608191,1.13374222,-0.254903269,0.001853779,0.006648818
chr2_1700003F12Rik,27,40,76,69,52,15,2,0,35.30454708,41.6223142,57.11411236,60.22535481,30.11486199,13.86981294,2.706416761,0.124484714,-0.604941316,-0.950017339,0.08484928,0.18296346
chr4_1700003M02Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr3_1700006A11Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr11_1700006E09Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr8_1700007B14Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr5_1700007G11Rik,0,0,0,0,0,1,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,0.948487014,1.39E-17,1.39E-17,0,-5.010870692,1,1
chr7_1700007K09Rik,7,2,9,2,1,0,0,0,8.680909524,2.130379684,7.073516445,1.602762741,0.579775926,0,1.39E-17,1.39E-17,0.244873709,-3.88398167,0.837130926,1
chr2_1700007K13Rik,6,2,2,2,10,0,4,2,7.459556045,2.123403927,1.467886858,1.741792583,6.22883082,0,5.653033867,3.194499477,1.461776056,-3.641106183,0.10994216,0.227031206
chr8_1700008F21Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chrX_1700008I05Rik,4,0,0,2,0,0,0,0,4.862614438,0.02160505,0,1.800506637,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.398252064,-4.630768341,0.466586114,0.719262847
chr7_1700008O03Rik,10,4,54,28,8,2,2,5,12.50873188,4.223359729,41.1416815,24.16975663,4.732592912,1.822345376,3.261994798,7.043410837,-1.986286921,-2.11200162,3.66E-05,0.000193081
chr3_1700008P02Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr4_1700009N14Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr1_1700009P17Rik,109,101,114,130,286,153,105,88,141.1157798,105.22912,85.3877746,113.6267529,160.2706806,142.9757899,153.0327654,130.1144165,0.306193012,1.005618637,0.32039332,0.536786657
chr2_1700010B08Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chrX_1700010D01Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr17_1700010I14Rik,24,20,72,36,37,32,24,14,30.80305783,20.87702513,54.79220762,31.1028647,20.08787428,30.00492249,34.36123223,21.36819596,-0.744547814,-0.997298482,0.054393645,0.126542864
chr15_1700011A15Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr17_1700011E24Rik,0,0,4,3,4,1,0,0,1.39E-17,1.39E-17,3.012558191,2.593553484,2.350021102,0.907700117,1.39E-17,1.39E-17,-4.630754765,-4.306494311,0.035290638,0.087542176
chr14_1700011H14Rik,24,22,42,45,86,29,28,10,30.89219848,22.94886498,31.36635533,39.37261409,49.17602891,26.94974782,39.56783667,15.98341538,-0.39748693,-0.909465344,0.330388156,0.549717165
chr18_1700011I03Rik,0,3,0,0,0,0,0,0,0.100999217,3.099238406,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,3.955033408,-4.847651538,0.256308063,0.447265443
chr8_1700011L22Rik,2,2,0,0,0,2,0,7,2.590821008,2.089870779,1.39E-17,1.39E-17,0,1.905455209,0.392222834,9.476871842,4.354671828,-4.215651345,0.067821941,0.151522611
chr6_1700012A03Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr11_1700012B07Rik,0,0,103,69,0,0,0,0,1.39E-17,1.39E-17,77.83768239,60.02306778,1.39E-17,1.39E-17,1.39E-17,1.39E-17,-9.183634205,-1.613799458,4.89E-23,1.66E-21
chr9_1700012B09Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chrX_1700012L04Rik,16,12,2,6,32,27,9,11,20.42542127,12.54457484,1.290825739,5.356071727,17.3703705,25.31749163,13.37513867,16.04297878,2.287964808,-2.055901844,0.000142053,0.000662387
chr4_1700012P22Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr6_1700013D24Rik,0,1,5,6,0,0,0,0,0.034837604,1.035963743,3.657107592,5.271438774,1.39E-17,1.39E-17,1.39E-17,1.39E-17,-2.716281156,-4.294478989,0.026912078,0.069741027
chr3_1700013F07Rik,0,0,0,0,2,0,0,2,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.211984239,0,0.122176426,2.721424077,0,-4.777974139,1,1
chr4_1700013G24Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chrX_1700013H16Rik,4,0,17,7,0,0,0,0,4.862614438,0.02160505,13.13147461,5.931043544,1.39E-17,1.39E-17,1.39E-17,1.39E-17,-1.991996324,-3.645779083,0.018287216,0.050306122
chr1_1700015E13Rik,0,0,0,2,13,4,0,0,1.39E-17,1.39E-17,0,1.800506637,7.606197835,3.679487586,1.39E-17,1.39E-17,-2.966542259,-4.005733823,0.504205375,0.736850985
chr5_1700015F17Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr7_1700015G11Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr1_1700016C15Rik,2,0,27,32,22,26,0,4,2.442740493,0.011160747,20.03114221,28.05824493,11.43037939,24.45130506,0.235837529,5.410641033,-4.234779882,-2.13622553,1.21E-08,1.12E-07
chr8_1700016D06Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr5_1700016H13Rik,2,0,0,0,0,0,1,0,2.442740493,0.011160747,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.375899352,0.063388247,3.428248309,-4.843970333,0.504205375,0.736850985
chr11_1700016K19Rik,0,0,0,2,2,0,0,0,1.39E-17,1.39E-17,0,1.800506637,1.211984239,0,1.39E-17,1.39E-17,-2.966542259,-4.783116436,0.504205375,0.736850985
chr9_1700017B05Rik,560,709,2092,1897,1340,701,688,796,727.6396396,738.1833065,1574.382387,1655.164443,750.0155556,655.2415238,1005.968929,1172.041117,-1.139489399,3.994223796,3.07E-05,0.000163446
chr19_1700017D01Rik,0,0,0,1,0,0,0,0,1.39E-17,1.39E-17,0,0.892427344,1.39E-17,1.39E-17,1.39E-17,1.39E-17,-2.138809007,-5.011284774,1,1
chr10_1700017N19Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr8_1700018B08Rik,0,0,0,4,0,0,0,0,1.39E-17,1.39E-17,0,3.613972685,1.39E-17,1.39E-17,1.39E-17,1.39E-17,-3.874427527,-4.776605752,0.131334152,0.261638763
chr4_1700018C11Rik,0,0,2,2,0,0,0,0,1.39E-17,1.39E-17,1.467886858,1.741792583,1.39E-17,1.39E-17,1.39E-17,1.39E-17,-3.86767866,-4.778522783,0.256308063,0.447265443
chr5_1700018F24Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr1_1700019A02Rik,7,1,6,2,6,4,0,2,8.600600382,1.091013314,4.67398864,1.654323721,3.273681645,3.740607019,0.122176426,2.721424077,0.522744144,-3.640294983,0.483290979,0.736850985
chr8_1700019B03Rik,2,0,0,0,1,2,4,2,2.442740493,0.011160747,1.39E-17,1.39E-17,0.397499785,1.891337327,5.653033867,3.194499477,3.428248309,-4.326473813,0.504205375,0.736850985
chr1_1700019D03Rik,2,2,0,0,0,2,4,0,2.590821008,2.089870779,1.39E-17,1.39E-17,0,1.905455209,5.381190394,0.240287665,4.354671828,-4.380889115,0.067821941,0.151522611
chr6_1700019G17Rik,1018,2555,1123,959,3252,2611,4176,3430,1324.022137,2659.963794,845.1952209,836.7058232,1818.302135,2440.94994,6102.154186,5053.131014,1.244451673,5.337971766,5.18E-06,3.16E-05
chr2_1700019L03Rik,30,24,69,65,31,29,6,5,38.50598645,25.0529872,51.8024034,56.75852527,16.66241535,27.21418095,8.704435841,7.502160949,-0.778783163,-1.020771216,0.028843853,0.074012246
chr19_1700019N19Rik,0,0,0,4,0,0,0,0,1.39E-17,1.39E-17,0,3.613972685,1.39E-17,1.39E-17,1.39E-17,1.39E-17,-3.874427527,-4.776605752,0.131334152,0.261638763
chr1_1700019O17Rik,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr2_1700020A23Rik,0,0,4,2,0,4,0,0,1.39E-17,1.39E-17,3.070148756,1.694560425,0,3.817687156,1.39E-17,1.39E-17,-4.416267805,-4.399939374,0.067821941,0.151522611
chr19_1700020D05Rik,28,33,43,24,29,16,0,4,36.33767698,34.37052475,32.74807584,20.73172175,16.28285977,14.93588395,0.235837529,5.410641033,0.393808209,-1.521529574,0.324614995,0.542097661
