symbol_chr,RAS/CAS|L2FC,RAS/CAS|PValue,RAS/CAS|FDR,RAS/WT-O|L2FC,RAS/WT-O|PValue,RAS/WT-O|FDR,53KO/WT|L2FC,53KO/WT|PValue,53KO/WT|FDR,CAS/WT|L2FC,CAS/WT|Pvalue,CAS/WT|FDR
1500009L16Rik_chr10,-6.42,5.6886E-32,3.4882E-30,0.00,0.506060673,0.943851927,4.095231761,1.18E-10,1.67E-09,6.416964367,3.43E-26,5.55E-25
1500012F01Rik_chr2,-1.84,1.6964E-08,1.0869E-07,1.16,5.37E-05,0.000683607,2.9389363,3.51E-15,9.08E-14,3.003776689,3.96E-20,4.23E-19
1500015O10Rik_chr1,0.26,0.912040511,1,1.33,0.731077341,1,-1.476353306,0.456758958,0.76207358,1.069274767,0.622739959,0.870863534
1600002H07Rik_chr17,1.28,4.2195E-11,3.6012E-10,-0.53,0.165439223,0.471408477,0.084020176,0.184014711,0.367807851,-1.806621173,2.97E-15,2.27E-14
1600002K03Rik_chr10,-0.65,0.073968863,0.151871754,-0.35,0.917320196,1,1.023553114,0.005398583,0.017856202,0.308851279,0.060914924,0.116123602
1600012H06Rik_chr17,0.02,0.534204176,0.79674657,0.27,0.107590072,0.353812549,0.394271198,0.084898656,0.193872926,0.246446246,0.322119615,0.505917405
1600014C10Rik_chr7,0.93,2.44E-07,1.36E-06,-0.10,0.785595217,1,-0.543811561,0.016291693,0.047333285,-1.036568753,9.95E-07,3.74E-06
1600014C23Rik_chr17,-1.57,0.001154982,0.003614569,0.86,0.646209418,1,0,1,1,2.435883353,0.057286432,0.109855325
1600014K23Rik_chrX,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1600015I10Rik_chr6,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700001C02Rik_chr5,1.25,0.316134004,0.520802031,2.77,0.014134437,0.077674228,0,0.533574482,0.848810388,1.518798282,0.176852397,0.299828546
1700001C19Rik_chr17,1.70,2.0941E-16,3.1622E-15,-0.35,0.419220247,0.839451881,-0.832554794,4.59E-05,0.000248504,-2.055535122,5.67E-19,5.62E-18
1700001F09Rik_chr14,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700001J03Rik_chr5,-0.06,0.421396369,0.658724129,0.96,1,1,-0.234576858,0.358523802,0.627605692,1.012634849,0.468348341,0.695090072
1700001K19Rik_chr12,-2.02,0.008909824,0.023164941,0.09,1,1,-0.900084971,1,1,2.103996067,0.050898176,0.098564588
1700001L19Rik_chr13,-1.08,0.003396113,0.009680567,0.86,0.645496785,1,1.436888405,1,1,1.943063859,0.108642942,0.195060412
1700001O22Rik_chr2,-3.40,4.4675E-08,2.7108E-07,-0.42,1,1,1.077109008,0.104109777,0.230781306,2.983014015,5.82E-06,2.03E-05
1700001P01Rik_chr11,1.43,0.789479943,1,2.84,0.56183195,0.988330134,1.354781333,0.796231234,1,1.406537506,0.826026386,1
1700003E16Rik_chr6,1.26,2.8915E-05,1.1938E-04,-0.53,0.103370563,0.344272269,-0.719810767,0.034030351,0.08921211,-1.789173131,3.97E-08,1.71E-07
1700003F12Rik_chr2,-0.71,0.002398628,0.007070536,2.89,1.91E-06,3.45E-05,3.007651187,5.04E-09,5.54E-08,3.598770676,3.62E-12,2.20E-11
1700003M02Rik_chr4,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700006A11Rik_chr3,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700006E09Rik_chr11,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700007B14Rik_chr8,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700007G11Rik_chr5,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700007K09Rik_chr7,-2.02,0.05327711,0.114316318,0.45,1,1,2.790433382,0.026555296,0.072046449,2.474038053,0.037324949,0.074425724
1700007K13Rik_chr2,1.59,0.527701075,0.788944922,0.22,0.851954075,1,0.391239851,1,1,-1.361838783,0.365695703,0.559497574
1700008F21Rik_chr8,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700008I05Rik_chrX,0.00,0.5739894,0.817722899,0.00,1,1,2.148973153,0.242320455,0.459603964,0,0.5739894,0.812295315
1700008O03Rik_chr7,-2.63,6.3675E-06,2.9010E-05,0.62,0.542583277,0.973889502,1.786725983,0.499118807,0.819348808,3.248061488,0.000486028,0.001330892
1700008P02Rik_chr3,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700009N14Rik_chr4,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700009P17Rik_chr1,1.03,0.042646885,0.093828799,0.12,0.706353465,1,-0.082816934,0.679301828,0.998669945,-0.917709889,0.110745031,0.198435969
1700010B08Rik_chr2,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700010D01Rik_chrX,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700010I14Rik_chr17,-1.35,0.136582748,0.257623819,-0.76,0.86332834,1,-0.12926035,0.945326787,1,0.588183569,0.261897758,0.424738583
1700011A15Rik_chr15,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700011E24Rik_chr17,-0.10,0.614538988,0.863318992,1.36,0.276298771,0.657503935,0,1,1,1.461287066,0.085492809,0.157736812
1700011H14Rik_chr14,0.80,0.720221716,0.980145967,0.33,0.353669838,0.753924697,-0.352375055,1,1,-0.473707697,0.577508105,0.816578751
1700011I03Rik_chr18,0.00,1,1,0.00,1,1,0,0.349985806,0.615813911,0,1,1
1700011L22Rik_chr8,0.00,0.563971681,0.806119802,0.00,0.256886416,0.630282972,1.391956939,0.61290508,0.919852377,0,0.046868193,0.091515443
1700012A03Rik_chr6,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700012B07Rik_chr11,-5.56,1.0583E-20,2.4595E-19,0.00,1,1,0,1,1,5.55845107,2.52E-15,1.94E-14
1700012B09Rik_chr9,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700012L04Rik_chrX,2.99,7.4843E-06,3.3774E-05,0.38,0.319489299,0.715518099,0.655472055,0.741417378,1,-2.61405723,0.001744917,0.004406374
1700012P22Rik_chr4,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700013D24Rik_chr6,-1.58,0.004249438,0.011876654,0.00,1,1,0,1,1,1.577714137,0.017538351,0.037421161
1700013F07Rik_chr3,0.86,0.546886084,0.797485369,0.86,0.686999018,1,0,0.546886084,0.859247493,0,0.546886084,0.787705769
1700013G24Rik_chr4,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700013H16Rik_chrX,-3.20,0.000220402,0.000787415,0.00,1,1,2.148973153,0.170935369,0.34570864,3.196887065,0.000962956,0.002520168
1700015E13Rik_chr1,2.60,0.020025257,0.047918759,2.60,0.00372251,0.026335203,0,1,1,0,0.522058718,0.762292322
1700015F17Rik_chr5,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700015G11Rik_chr7,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700016C15Rik_chr1,-0.68,0.590795367,0.836171423,2.94,0.00156419,0.012904428,1.436888405,0.714335079,1,3.619377162,0.000328298,0.000920345
1700016D06Rik_chr8,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700016H13Rik_chr5,0.00,1,1,-0.93,1,1,0.502995577,1,1,-0.933892828,1,1
1700016K19Rik_chr11,0.86,1,1,0.86,1,1,0,1,1,0,0.540771496,0.782309659
1700017B05Rik_chr9,-0.95,6.06E-08,3.63E-07,-0.37,0.004069101,0.028457992,-0.437063305,0.012624566,0.03787207,0.582340387,0.011097156,0.024524335
1700017D01Rik_chr19,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700017N19Rik_chr10,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700018B08Rik_chr8,0.00,0.231203038,0.400265093,0.00,1,1,0,1,1,0,0.350858759,0.540283432
1700018C11Rik_chr4,-0.85,0.16633692,0.304620689,0.00,1,1,0,1,1,0.846423614,0.290356643,0.463172317
1700018F24Rik_chr5,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700019A02Rik_chr1,-0.38,1,1,1.60,0.506391426,0.944202243,2.800139423,0.256018759,0.480254739,1.979799957,0.634524507,0.88492256
1700019B03Rik_chr8,0.21,0.282282257,0.473697715,-2.00,0.183657766,0.504099029,-0.771373992,0.258884961,0.484458209,-2.208262397,0.020234115,0.042614411
1700019D03Rik_chr1,0.00,0.543435385,0.797485369,-2.23,0.567402532,0.99377759,-0.833578065,1,1,-2.225535004,0.122821855,0.217858335
1700019G17Rik_chr6,1.22,2.7762E-07,1.5303E-06,-1.70,6.24E-07,1.25E-05,-2.177676969,1.66E-07,1.44E-06,-2.913513647,4.13E-22,5.02E-21
1700019L03Rik_chr2,-1.48,2.0985E-03,6.2468E-03,0.80,0.010271002,0.060384036,2.005196499,0.00037756,0.001675159,2.285657688,1.11E-07,4.61E-07
1700019N19Rik_chr19,0.00,0.23117136,0.400248247,0.00,1,1,0,1,1,0,0.350829821,0.540283432
1700019O17Rik_chr1,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700020A23Rik_chr2,-1.52,1,1,0.00,0.174945836,0.489469295,0,1,1,1.518798282,0.174945836,0.297152197
1700020D05Rik_chr19,-0.86,0.154832766,0.286901091,3.52,0.001661815,0.013560601,4.570376177,3.33E-07,2.72E-06,4.376306363,1.30E-05,4.35E-05
1700020L24Rik_chr11,-0.76,0.293260433,0.488879714,-0.55,0.823143801,1,0.044532311,0.023685617,0.065428948,0.216047285,0.194383008,0.325841107
1700020N15Rik_chrX,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700021F05Rik_chr10,1.42,8.0428E-10,5.9985E-09,-0.18,0.699778294,1,-0.069029223,0.562472545,0.864402986,-1.605917572,9.22E-09,4.22E-08
1700021F07Rik_chr2,-5.40,1.4803E-16,2.2737E-15,0.00,1,1,0,1,1,5.401868579,6.15E-13,3.95E-12
1700021K19Rik_chr16,0.09,0.711919315,0.970780078,0.01,0.843362978,1,-0.585585398,0.103403152,0.229455672,-0.075049181,0.571228117,0.809035028
1700022I11Rik_chr4,0.00,1,1,0.00,1,1,2.148973153,0.260929235,0.487564059,0,1,1
1700023E05Rik_chr5,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700023F06Rik_chr11,0.01,0.727180102,0.98708516,0.86,1,1,0,1,1,0.846423614,0.286202673,0.459106
1700024G13Rik_chr14,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700024P04Rik_chr13,0.00,1,1,-0.93,1,1,-0.933892828,1,1,-0.933892828,1,1
1700024P16Rik_chr4,-0.42,0.064423732,0.134498199,-0.09,0.363146911,0.76641267,-0.22617012,0.462518254,0.770532203,0.330936565,0.357696349,0.548667623
1700025F22Rik_chr19,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700025G04Rik_chr1,-2.28,4.3453E-24,1.3929E-22,0.72,0.025550985,0.122864658,1.04645893,3.76E-05,0.000207883,3.00419803,4.11E-32,1.01E-30
1700026D08Rik_chr7,-0.67,0.315728693,0.520244954,0.64,0.289246635,0.675895908,2.148973153,0.165176213,0.33631463,1.30341634,0.023681805,0.049087152
1700026L06Rik_chr2,0.79,0.862484049,1,4.17,0.001124212,0.009836859,2.029827793,0.02440598,0.067028477,3.381388148,0.000666347,0.001788624
1700028K03Rik_chr5,-1.42,2.81E-05,0.000116181,0.94,0.004968179,0.033515379,2.185705632,1.45E-07,1.27E-06,2.359499384,2.75E-11,1.55E-10
1700028P14Rik_chr19,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700029F12Rik_chr13,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700029H14Rik_chr8,-1.02,0.560331785,0.802150467,0.00,1,1,1.836747826,0.340497678,0.603367597,1.018392408,1,1
1700029I15Rik_chr2,-0.38,0.589167457,0.834232114,0.96,0.132443609,0.407788747,2.353211797,0.001963961,0.007309811,1.343721449,0.040667613,0.08047644
1700029J07Rik_chr8,-1.65,4.3349E-03,1.2098E-02,-1.02,0.302100457,0.693345312,0.162203386,0.533236304,0.848446645,0.629327079,0.092793933,0.16955193
1700029P11Rik_chr15,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700030F18Rik_chr15,0.00,1,1,0.00,1,1,0.881046073,1,1,0,1,1
1700030J22Rik_chr8,1.10,0.439144405,0.680789538,-1.02,0.234126433,0.593164537,-3.434314812,0.056747329,0.137963803,-2.11690303,0.057774165,0.110744935
1700030K09Rik_chr8,-0.34,0.267273153,0.452662008,-0.51,0.472467576,0.906700781,-0.486666334,0.845963865,1,-0.176240149,0.715374708,0.975720888
1700031F05Rik_chrX,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700034E13Rik_chr18,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700034F02Rik_chr11,-0.70,0.12181092,0.233244277,0.67,1,1,1.894695384,0.288027941,0.5269025,1.373465837,0.103113099,0.186167637
1700034J05Rik_chr6,0.00,1,1,0.00,1,1,2.6221372,0.164922703,0.33600129,0,1,1
1700034O15Rik_chr6,-0.57,1,1,0.45,1,1,0,1,1,1.018392408,1,1
1700037C18Rik_chr16,-1.24,1.2104E-03,3.7753E-03,0.16,0.18642321,0.509057125,0.725690487,0.207498103,0.404721436,1.398791345,1.47E-05,4.91E-05
1700037H04Rik_chr2,0.12,0.581126182,0.825410858,-0.23,0.8588148,1,-0.500716924,0.733800071,1,-0.357357108,0.462745068,0.687828294
1700039E15Rik_chr7,0.89,0.188441714,0.337238983,1.90,0.583169653,1,0,0.519561273,0.838718743,1.018392408,0.657262002,0.910404632
1700040L02Rik_chr10,2.13,2.3568E-04,8.3736E-04,0.03,0.637416431,1,-2.236124402,0.111166542,0.243934515,-2.099655654,0.001758892,0.004437808
1700042B14Rik_chrX,0.40,0.235489596,0.406173238,1.25,0.021365455,0.107080692,2.599502249,0.021365455,0.059742873,0.846423614,0.284627151,0.457071241
1700042G07Rik_chr4,-1.02,0.553540915,0.797485369,0.00,1,1,0,1,1,1.018392408,1,1
1700047I17Rik2_chr12,-1.05,2.2840E-09,1.6253E-08,1.22,1.09E-06,2.09E-05,1.925049185,1.51E-17,5.07E-16,2.275223265,2.32E-25,3.55E-24
1700049G17Rik_chr7,0.80,0.187992669,0.336564951,0.89,0.889163581,1,0.402071089,1,1,0.089497973,0.256578419,0.417159819
1700052N19Rik_chr10,-0.17,0.893839845,1,-0.31,0.119843215,0.380174218,0.224608498,0.531435013,0.846798059,-0.136244084,0.090855667,0.166311098
1700055N04Rik_chr19,-0.36,0.432689545,0.672896863,4.45,7.08E-10,2.38E-08,3.345832692,2.74E-05,0.000156361,4.808272742,1.99E-11,1.14E-10
1700056E22Rik_chr1,-0.18,0.406081686,0.639342754,0.03,0.234095267,0.59315024,-0.662242021,0.494797462,0.813519138,0.208500677,0.045765412,0.089572863
1700057G04Rik_chr9,-1.41,1,1,0.00,0.830239825,1,2.810478195,0.419761117,0.713990219,1.406537506,0.694431686,0.951904706
1700061G19Rik_chr17,-2.65,5.33E-12,5.02E-11,1.91,0.00254074,0.019195966,0.194000448,0.024968577,0.068355488,4.565335682,7.04E-18,6.45E-17
1700065D16Rik_chr9,-2.25,0.039566864,0.087708309,-0.50,1,1,1.123148943,0.446129932,0.748218201,1.752552217,0.029496707,0.060010809
1700066B19Rik_chr18,-0.74,0.002369076,0.006993826,1.01,0.213245132,0.55790632,1.738811419,0.000573375,0.002442308,1.742435882,6.49E-05,0.000201014
1700066M21Rik_chr1,1.43,1.9905E-12,1.9601E-11,-0.02,0.802814301,1,-0.193739506,0.067968015,0.161049822,-1.445346374,1.17E-11,6.78E-11
1700067K01Rik_chr8,-1.24,0.156386612,0.289411122,-0.44,0.454585834,0.884731492,1.500100152,0.036033465,0.093618528,0.798366888,0.626367664,0.875227544
1700067P10Rik_chr17,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700071K01Rik_chr11,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700074P13Rik_chr6,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700080E11Rik_chr9,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700080O16Rik_chrX,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700084C01Rik_chr1,-0.63,0.299579816,0.497716105,-0.93,0.615370368,1,0.616983437,0.096938677,0.217182638,-0.297779518,0.830930397,1
1700088E04Rik_chr15,0.25,0.446018636,0.689606354,0.65,0.166201486,0.472875352,0.742023881,0.00292324,0.010397321,0.399476567,0.534074266,0.774947034
1700092M07Rik_chr19,2.34,0.901839404,1,2.34,0.299302673,0.688692487,1.436888405,1,1,0,0.273841298,0.442072226
1700093K21Rik_chr11,-0.14,0.696901947,0.955347209,1.38,0.033666678,0.151748178,2.148973153,0.159634073,0.327411161,1.518798282,0.159634073,0.274807101
1700094D03Rik_chr3,-0.27,0.386411012,0.613191663,1.35,0.001068783,0.009455086,2.420318397,6.90E-12,1.17E-10,1.62282816,4.27E-05,0.000134934
1700101E01Rik_chr2,0.53,0.286567146,0.479572296,1.50,0.824489274,1,-1.43647769,0.184364681,0.368354874,0.970014128,0.419128868,0.630946683
1700102P08Rik_chr9,-0.95,0.255271333,0.435541134,2.21,0.641627908,1,4.71947201,8.57E-08,7.74E-07,3.158058766,0.138155744,0.241717947
1700106J16Rik_chr11,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1700109H08Rik_chr5,-0.02,0.410045494,0.644361166,1.37,0.004923422,0.033319839,1.54639534,0.000157307,0.000755959,1.386951377,0.000401345,0.001111181
1700112E06Rik_chr14,0.10,0.691159453,0.948762298,2.02,1.13E-09,3.63E-08,2.84025369,2.01E-13,4.13E-12,1.926051835,1.80E-10,9.48E-10
1700113H08Rik_chr10,-4.54,1.1421E-11,1.0458E-10,0.00,1,1,1.413132987,0.265687105,0.494519328,4.537705854,1.45E-09,7.07E-09
