"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Building quantum wires: the long and the short of it","M. Oskin; F. T. Chong; I. L. Chuang; J. Kubiatowicz","Washington Univ., USA; NA; NA; NA","30th Annual International Symposium on Computer Architecture, 2003. Proceedings.","","2003","","","374","385","As quantum computing moves closer to reality the need for basic architectural studies becomes more pressing. Quantum wires, which transport quantum data, is a fundamental component in all anticipated silicon quantum architectures. We introduce a quantum wire architecture based upon quantum teleportation. We compare this teleportation channel with the traditional approach to transporting quantum data, which we refer to as the swapping channel. We characterize the latency and bandwidth of these two alternatives in a device-independent way and describe how the advanced architecture of the teleportation channel overcomes a basic limit to the maximum communication distance of the swapping channel. In addition, we discover a fundamental tension between the scale of quantum effects and the scale of the classical logic needed to control them. This ""pitch-matching"" problem imposes constraints on minimum wire lengths and wire intersections, which in turn imply a sparsely connected architecture of coarse-grained quantum computational elements. This is in direct contrast to the ""sea of gates "" architectures presently assumed by most quantum computing studies.","1063-6897","0-7695-1945","10.1109/ISCA.2003.1207015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1207015","","Wires;Quantum computing;Computer architecture;Teleportation;Buildings;Pressing;Silicon;Delay;Bandwidth;Logic devices","quantum gates;quantum entanglement;teleportation;quantum wires;computer architecture;quantum communication;computation theory","silicon quantum wire architecture;quantum data transportation;quantum teleportation;swapping channel;quantum communication distance;classical logic scale;pitch-matching problem;coarse-grained quantum computational element;sea of gates architecture","","8","","","","","","","","IEEE","IEEE Conferences"
"Molecular quantum-dot cellular automata","B. Isaksen; C. S. Lent","Dept. of Electr. Eng., Notre Dame Univ., IN, USA; Dept. of Electr. Eng., Notre Dame Univ., IN, USA","2003 Third IEEE Conference on Nanotechnology, 2003. IEEE-NANO 2003.","","2003","1","","5","8 vol.2","Quantum-dot cellular automata (QCA) is an approach to computing which eliminates the need for transistors by representing binary digits as charge configurations rather than current levels. Coulomb interactions provide device-device coupling without current flow. Clocked control of the device allows power gain, control of power dissipation, and pipelined computation. Molecular QCA uses redox sites of molecules as quantum dots. We present an ab initio analysis of a simple molecular system which acts as a clocked molecular QCA cell.","","0-7803-7976","10.1109/NANO.2003.1231700","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1231700","","Quantum dots;Quantum cellular automata;Clocks;Quantum computing;Automatic control;Power dissipation;Transistors;Electron mobility;Stationary state;Power engineering computing","cellular automata;molecular electronics;ab initio calculations;quantum dots","molecular quantum dot cellular automata;binary digits;charge configurations;current levels;Coulomb interactions;device-device coupling;clocked control;power gain;power dissipation control;pipelined computation;redox sites;ab initio analysis;clocked molecular cell","","7","","","","","","","","IEEE","IEEE Conferences"
"A new physics","J. Doyle; H. Mabuchi","Control & Dynamical Syst., California Inst. of Technol., Pasadena, CA, USA; Control & Dynamical Syst., California Inst. of Technol., Pasadena, CA, USA","Proceedings of the 41st IEEE Conference on Decision and Control, 2002.","","2002","4","","4555","4558 vol.4","This session considers the application of mathematics from control theory to several persistent mysteries at the foundations of physics where interconnected, multiscale systems issues arise. In addition to the ubiquity of power laws in natural and man-made systems, these include a new view of turbulence in highly sheared flows that results from design for drag minimization, the origin of macroscopic dissipation and thermodynamic irreversibility in microscopically reversible dynamics, the universality of quantum gates for quantum computing, decoherence minimization in quantum systems, and entanglement witnessing. The latter ones are problems at the heart of several important tasks such as quantum computing, teleportation and quantum key distribution. Much of the original motivation for a new science of complexity came from the hope that methods of theoretical physics could contribute to a theory of complex engineering and biological networks and systems. This collection of work shows that apparently exactly the opposite is true. The role that robust control methods play in this research will be the central theme of this paper, around which the other issues will be woven. The aim is not to provide a control-friendly rederivation of known results in physics, but rather to illustrate through representative examples, how exciting new results and important insight, as assessed by physicists themselves, can be obtained through the mathematics and methods that the control community has developed. Since this work is largely being published in the scientific literature, the controls community may be largely unaware of these developments.","0191-2216","0-7803-7516","10.1109/CDC.2002.1185093","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1185093","","Physics;Quantum computing;Quantum entanglement;Mathematics;Control theory;Power system interconnection;Thermodynamics;Microscopy;Heart;Biology computing","interconnected systems;robust control;shear turbulence;drag reduction;thermodynamic properties;teleportation;quantum theory;quantum entanglement","theoretical physics;mathematics;control theory;persistent mysteries;interconnected system;multiscale systems;power laws;man-made systems;sheared flows;turbulence;drag minimization;macroscopic dissipation;thermodynamic irreversibility;reversible dynamics;quantum gates;quantum computing;decoherence minimization;quantum systems;entanglement witnessing;teleportation;quantum key distribution;complex engineering;biological networks;robust control;scientific literature","","","","","","","","","","IEEE","IEEE Conferences"
"Carrier lifetime and recombination in long-wavelength quantum-well lasers","J. M. Pikal; C. S. Menoni; H. Temkin; P. Thiagarajan; G. Y. Robinson","Dept. of Electr. & Comput. Eng., Colorado State Univ., Fort Collins, CO, USA; NA; NA; NA; NA","IEEE Journal of Selected Topics in Quantum Electronics","","1999","5","3","613","619","We present a novel analysis for correcting the measured differential carrier lifetime to account for carrier population in both the barrier and separate confinement heterostructure (SCH) regions of quantum-well (QW) lasers. This analysis uses information obtained from the measured spontaneous emission spectra to correct the measured lifetime and obtain the intrinsic well lifetime. Once the intrinsic well lifetime is obtained, the intrinsic well recombination coefficients can also be obtained. We show that the carrier population in the barrier/SCH layers can significantly affect the measured carrier lifetime and the extracted recombination coefficients. We also show that this analysis yields transparency carrier density and differential gain numbers which are very different from those obtained with the traditional analysis and much closer to what is predicted for highly strained QW lasers. These differences indicate the importance of accounting for barrier/SCH carriers on the measurement of basic QW laser material properties.","1077-260X;1558-4542","","10.1109/2944.788425","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=788425","","Charge carrier lifetime;Radiative recombination;Quantum well lasers;Charge carrier density;Semiconductor lasers;Temperature sensors;Density measurement;Carrier confinement;Spontaneous emission;Threshold current","carrier lifetime;quantum well lasers;electron-hole recombination;spontaneous emission;indium compounds;gallium compounds;III-V semiconductors;laser beams","carrier lifetime;recombination;long-wavelength quantum-well lasers;differential carrier lifetime;carrier population;separate confinement heterostructure regions;barrier region;quantum-well lasers;spontaneous emission spectra;lifetime;intrinsic well lifetime;intrinsic well recombination coefficients;recombination coefficients;transparency carrier density;differential gain numbers;laser material properties;InAsP-InGaAsP laser;InAsP-InGaAsP","","17","","","","","","","","IEEE","IEEE Journals & Magazines"
"Gigahertz manipulation of electron spins in semiconductor nanostructures","Y. Kato; R. C. Myers; D. C. Driscoll; A. C. Gossard; J. Levy; D. D. Awschalom","Center for Spintronics & Quantum Comput., California Univ., Santa Barbara, CA, USA; Center for Spintronics & Quantum Comput., California Univ., Santa Barbara, CA, USA; Center for Spintronics & Quantum Comput., California Univ., Santa Barbara, CA, USA; Center for Spintronics & Quantum Comput., California Univ., Santa Barbara, CA, USA; Center for Spintronics & Quantum Comput., California Univ., Santa Barbara, CA, USA; Center for Spintronics & Quantum Comput., California Univ., Santa Barbara, CA, USA","2003 International Symposium on Compound Semiconductors","","2003","","","3","","We analyse electronic, photonic, and magnetic manipulation of electrons and nuclear spins in a variety of semiconductor nanostructures for quantum spin information processing in the solid state. Temporally-and spatially-resolved magneto-optical measurements on semiconductor quantum structures are also discussed.","","0-7803-7820","10.1109/ISCS.2003.1239876","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1239876","","Electrons;Semiconductor nanostructures;Nuclear electronics;Magnetic field measurement;Solid state circuits;Nuclear measurements;Nuclear magnetic resonance;Paramagnetic resonance;High speed optical techniques;Frequency","gallium arsenide;aluminium compounds;III-V semiconductors;nanostructured materials;semiconductor quantum wells;magneto-optical effects;spin dynamics","electron spins;semiconductor nanostructures;electrons analysis;photons analysis;magnetic manipulation;nuclear spins;quantum information;spatially-resolved magneto-optical properties;temporally-resolved magneto-optical properties;GaAs-AlGaAs","","","","","","","","","","IEEE","IEEE Conferences"
"Experiments in real-time quantum feedback","H. Mabuchi","Dept. of Phys., California Inst. of Technol., Pasadena, CA, USA","Proceedings of the 41st IEEE Conference on Decision and Control, 2002.","","2002","1","","450","451 vol.1","Recent advances in quantum optics and atomic physics have enabled experimenters to begin exploring realtime feedback in quantum settings. In addition to the practical significance of such work for fields like nanotechnology and quantum information processing, research on quantum feedback probes the fundamental physics of conditional evolution for observed systems. Feedback in quantum settings is generally complicated by the intricacies of 'wave-function collapse' and measurement back-action, so that the proper design of quantum feedback controllers will require accurate quantitative models for the measurement process.","0191-2216","0-7803-7516","10.1109/CDC.2002.1184536","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1184536","","Atom optics;Optical feedback;Optical mixing;Atomic measurements;Optical signal processing;Optical pulses;Probes;Adaptive control;Quantum mechanics;Pulse measurements","quantum optics;real-time systems;feedback;physical instrumentation control","real-time quantum feedback;feedback;quantum optics;atomic physics;nanotechnology;quantum information processing;conditional evolution;observed systems;wave-function collapse;measurement back-action;quantum feedback controller design","","3","","","","","","","","IEEE","IEEE Conferences"
"Nonlinear upconversion interferometry","A. P. VanDevender; P. G. Kwiat","Illinois Univ., USA; Illinois Univ., USA","2005 Quantum Electronics and Laser Science Conference","","2005","1","","161","163 Vol. 1","We experimentally demonstrate the phase coherence of the upconversion process by upconverting time-bin states produced using two unbalanced Michelson interferometers.","","1-55752-796","10.1109/QELS.2005.1548712","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1548712","","Interferometers;Quantum computing;Photonic crystals;Interference;Optical interferometry;Computer networks;Fiber nonlinear optics;Particle beam optics;Nonlinear optics;Frequency","quantum optics;optical frequency conversion;quantum theory;quantum computing;quantum interference phenomena;quantum cryptography;Michelson interferometers;light interferometry;light coherence","nonlinear upconversion interferometry;phase coherence;upconversion process;upconverting time-bin states;unbalanced Michelson interferometers","","","","","","","","","","IEEE","IEEE Conferences"
"Effects of fiber dispersion on the time-frequency quantum cryptography protocol","P. Kumavor; S. Yelin; B. Wang","Connecticut Univ., Storrs, CT, USA; Connecticut Univ., Storrs, CT, USA; Connecticut Univ., Storrs, CT, USA","The 17th Annual Meeting of the IEEELasers and Electro-Optics Society, 2004. LEOS 2004.","","2004","2","","493","494 Vol.2","This paper explores the effects of dispersion on the quantum bit error rate (QBER) and security of the scheme for dispersion-shifted and standard single-mode fibers. Results show that dispersion increases both and R-value of the quantum key distribution, and causes a drop in performance. In addition, dispersion effects at 1310 nm is greater than at 1550 nm.","","0-7803-8557","10.1109/LEOS.2004.1363328","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1363328","","Time frequency analysis;Cryptography;Cryptographic protocols;Pulse measurements;Time measurement;Security;Space vector pulse width modulation;Frequency measurement;Optical fiber dispersion;Quantum computing","optical fibre dispersion;quantum cryptography;protocols;error statistics;security of data;optical fibre communication","fiber dispersion;time-frequency quantum cryptography protocol;dispersion effects;quantum bit error rate;security;dispersion-shifted fibers;standard single-mode fibers;quantum key distribution;1310 nm;1550 nm","","","","","","","","","","IEEE","IEEE Conferences"
"Computational techniques for the nonequilibrium quantum field theory simulation of MOSFETs","D. Jovanovic; R. Venugopal","Motorola/LANL, Los Alamos, NM, USA; NA","7th International Workshop on Computational Electronics. Book of Abstracts. IWCE (Cat. No.00EX427)","","2000","","","30","31","Non-equilibrium quantum-field theory (NQFT) has been in existence for almost 40 years yet has only recently become a viable technique for the simulation of semiconductor devices. This presentation reports on Motorola's effort at building a NQFT-based device simulator suitable for the predictive 2D quantum-mechanical simulation of MOSFETs beyond the 100 nm L/sub eff/ technology-node.","","0-85261-704","10.1109/IWCE.2000.869906","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=869906","","Quantum computing;Quantum mechanics;Computational modeling;MOSFETs;Particle scattering;Electrons;Tunneling","quantum field theory;MOSFET;semiconductor device models","numerical computation;nonequilibrium quantum field theory;MOSFET;semiconductor device;two-dimensional quantum mechanical simulation","","2","","","","","","","","IEEE","IEEE Conferences"
"On universal and fault-tolerant quantum computing: a novel basis and a new constructive proof of universality for Shor's basis","P. O. Boykin; T. Mor; M. Pulver; V. Roychowdhury; F. Vatan","Dept. of Electr. Eng., California Univ., Los Angeles, CA, USA; NA; NA; NA; NA","40th Annual Symposium on Foundations of Computer Science (Cat. No.99CB37039)","","1999","","","486","494","A novel universal and fault-tolerant basis (set of gates) for quantum computation is described. Such a set is necessary to perform quantum computation in a realistic noisy environment. The new basis consists of two single-qubit gates (Hadamard and /spl sigma//sub z//sup 1/4 /) and one double-qubit gate (Controlled-NOT). Since the set consisting of Controlled-NOT and Hadamard gates is not universal, the new basis achieves universality by including only one additional elementary (in the sense that it does not include angles that are irrational multiples of /spl pi/) single-qubit gate, and hence, is potentially the simplest universal basis that one can construct. We also provide an alternative proof of universality for the only other known class of universal and fault-tolerant basis proposed by P.W. Shor (1996) and A.Y. Kitaev (1997).","0272-5428","0-7695-0409","10.1109/SFFCS.1999.814621","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=814621","","Quantum computing;Fault tolerance;Working environment noise;Quantum mechanics;Circuit faults;Computational modeling;Error correction;Contracts;Subcontracting;Error-free operation","quantum gates;fault tolerant computing;set theory;theorem proving","fault-tolerant quantum computing;constructive proof;universality;Shor basis;fault-tolerant basis;realistic noisy environment;quantum computation gates;single-qubit gates;double-qubit gate;Hadamard;Controlled-NOT;irrational multiples;simplest universal basis;alternative proof","","8","","","","","","","","IEEE","IEEE Conferences"
"Balancing QCA logic gates under image charge neutralization","J. C. Lusth","Dept. of Comput. Sci. & Comput. Eng., Arkansas Univ., Fayetteville, AR, USA","Proceedings of the 2nd IEEE Conference on Nanotechnology","","2002","","","347","350","Quantum-dot cellular automata (QCA) devices for computing through energy relaxation via quantum mechanical effects, promise high speed, very low power, and extremely high density. Steady progress has been made in implementing QCA; a small binary logic device has recently been manufactured and its logical switching behavior demonstrated. However, computation with hierarchical assemblies of primitive logic devices has not yet been demonstrated. Earlier work has shown that the four ground states of the originally proposed automata for implementing AND and OR are at slightly different energy levels. Because of this, certain combinations of these gates relax to ground states that encode an incorrect computation. A previously proposed construct, which essentially computes all four ground states simultaneously and thus evens out the disparities, works well under the idealized charge neutralization scheme originally proposed by the inventors of QCA. Unfortunately, under the more realistic image charge neutralization, the construction has only slightly better characteristics than the original gates and only then when the separation distance between the automaton and the metal layer generating the image charges is rather small. This paper investigates methods for evening out the disparate ground states in the presence of image charge neutralization. Previously, it was shown that the more symmetric the automaton, the better its computational behavior under image charge neutralization. It is shown that adding symmetry also reduces the disparity in ground states and a new construct for balancing QCA logic gates is presented.","","0-7803-7538","10.1109/NANO.2002.1032262","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1032262","","Quantum cellular automata;Logic gates;Stationary state;Logic devices;Quantum computing;Quantum dots;Quantum mechanics;Manufacturing;Assembly;Energy states","cellular automata;quantum gates;ground states","QCA logic gate balancing;image charge neutralization;quantum-dot cellular automata;QCA;quantum computing;energy relaxation;quantum gates;disparate ground states","","1","","","","","","","","IEEE","IEEE Conferences"
"Comparison of three multiuser quantum key distribution networks","P. Kumavor; B. C. Wang; E. Donkor; S. Yelin","Dept. of Electr. & Comput. Eng., Connecticut Univ., CT, USA; Dept. of Electr. & Comput. Eng., Connecticut Univ., CT, USA; Dept. of Electr. & Comput. Eng., Connecticut Univ., CT, USA; NA","The 16th Annual Meeting of the IEEE Lasers and Electro-Optics Society, 2003. LEOS 2003.","","2003","2","","1042","1043 vol.2","In this paper, we explore the performance of two network topologies: the optical ring network based on the Sagnac Interferometer and the wavelength routed optical network. The performance of all three networks for multiuser quantum key distribution are then computer simulated and compared by quantum bit error rate (QBER) analysis. To the best of our knowledge, this is the first time system level analysis have been performed on the suitability of various optical networks for quantum key distribution.","1092-8081","0-7803-7888","10.1109/LEOS.2003.1253166","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1253166","","Optical fiber networks;Quantum computing;Performance analysis;Network topology;Optical interferometry;Sagnac interferometers;Wavelength routing;Computer networks;Distributed computing;Computational modeling","optical fibre networks;quantum cryptography;error statistics;Sagnac interferometers;digital simulation;multicast communication","multiuser quantum key distribution network;network topologies;optical ring network;Sagnac Interferometer;computer simulation;quantum bit error rate analysis","","","","","","","","","","IEEE","IEEE Conferences"
"Capacitively coupled Josephson junctions: A two-qubit system","R. C. Ramos; F. W. Strauch; P. R. Johnson; A. J. Berkley; H. Xu; M. A. Gubrud; J. R. Anderson; C. J. Lobb; A. J. Dragt; F. C. Wellstood","Dept. of Phys., Univ. of Maryland, College Park, MD, USA; Dept. of Phys., Univ. of Maryland, College Park, MD, USA; Dept. of Phys., Univ. of Maryland, College Park, MD, USA; Dept. of Phys., Univ. of Maryland, College Park, MD, USA; Dept. of Phys., Univ. of Maryland, College Park, MD, USA; Dept. of Phys., Univ. of Maryland, College Park, MD, USA; Dept. of Phys., Univ. of Maryland, College Park, MD, USA; Dept. of Phys., Univ. of Maryland, College Park, MD, USA; Dept. of Phys., Univ. of Maryland, College Park, MD, USA; Dept. of Phys., Univ. of Maryland, College Park, MD, USA","IEEE Transactions on Applied Superconductivity","","2003","13","2","994","997","We describe how single Josephson junctions can be connected together capacitively to form a two-qubit system. We discuss the general behavior of this system show the energy level dependence on various junction parameters and choice of coupling strengths. We also discuss measurement techniques for reading out both qubits which are relevant to our ongoing experiments.","1051-8223;1558-2515;2378-7074","","10.1109/TASC.2003.814122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1211773","","Josephson junctions;Quantum computing;Quantum mechanics;Energy states;Superconducting device noise;Coupling circuits;Measurement techniques;Superconducting devices;Spectroscopy;SQUIDs","Josephson effect;quantum computing","Josephson junction;quantum coherence;quantum computing;two-qubit system;capacitive coupling;energy level","","10","","","","","","","","IEEE","IEEE Journals & Magazines"
"Tuning of the transmission resonance in Aharonov-Bohm quantum rings","Y. S. Joe; A. Ahmadi; R. M. Cosby","Dept. of Phys. & Astron., Ball State Univ., Muncie, IN, USA; Dept. of Phys. & Astron., Ball State Univ., Muncie, IN, USA; Dept. of Phys. & Astron., Ball State Univ., Muncie, IN, USA","2003 Third IEEE Conference on Nanotechnology, 2003. IEEE-NANO 2003.","","2003","2","","686","689 vol. 2","We investigate the total transmission probability of a nanoscale Aharonov-Bohm (AB) ring with an embedded quantum dot in one of its arms and a magnetic flux passing through its center. We find a peculiar quantum transport though this system such as a symmetric Breit- Wigner (BW) and an asymmetric Fano transmission resonance. The transition from BW to Fano resonance (or vice verse) occurs by tuning the magnetic AB flux threading through the AB ring, indicating the Fano asymmetric parameter is extended to a complex number. Unique properties of the AB phase coexistent with Fano interference are examined.","","0-7803-7976","10.1109/NANO.2003.1231005","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1231005","","Quantum dots;Particle scattering;Magnetic flux;Energy states;Magnetic resonance;Electrons;Quantum computing;Arm;Interference;Coherence","quantum dots;Aharonov-Bohm effect;electron spin polarisation;magnetic flux;photoemission;optical tuning","transmission resonance;nanoscale Aharonov-Bohm quantum rings;transmission probability;quantum dots;quantum transport;symmetric Breit- Wigner resonance;asymmetric Fano transmission resonance;Fano interference;magnetic AB flux threading","","","","","","","","","","IEEE","IEEE Conferences"
"Nano, quantum, and molecular computing: are we ready for the validation and test challenges?","S. K. Shukla; R. Karri; S. C. Goldstein; F. Brewer; K. Banerjee; S. Basu","Bradley Sch. of Electr. & Comput. Eng., Virginia Tech, Blacksburg, VA, USA; NA; NA; NA; NA; NA","Eighth IEEE International High-Level Design Validation and Test Workshop","","2003","","","3","7","In the recent years a lot of research effort is being spent in the areas of nanotechnology, quantum computation, and biologically inspired computing. As we are faced with various challenges regarding their implementability, architectural visions, and design automation, not much has been done in the field of high level design and validation in looking further into the future, and ponder about the state of the art in design validation and test in such miniscule technology era. Very few reported research work have surfaced on the design and validation challenges for these technologies. However, this certainly is a matter of concern because the technology of the small will be ridden with random faults and hence architectural design strategies need to change to take into account these stochastic models of failures to build robust designs. Validation of such designs also have to capture the stochastic behavioral models of the technology, and hence traditional validation and testing techniques will not work directly. Are we getting ready with our theory; technology and tools to address these challenges? This futuristic panel asks technology and computer aided design experts, as well as finding agency program managers questions about the technological barriers to be surpassed, as well as how the funding agencies such as NSF are ramping up for this technological future.","","0-7803-8236","10.1109/HLDVT.2003.1252467","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1252467","","Quantum computing;Molecular computing;Testing;Redundancy;Design engineering;Stochastic processes;Manufacturing;Nanoscale devices;Probability;Computer science","quantum computing;nanoelectronics;molecular electronics;redundancy;electronic design automation;high level synthesis;design for testability","molecular computing;nano computing;quantum computation;biologically inspired computing;test challenges;validation challenges;design automation;high level design;random faults;architectural design strategies;stochastic models;behavioral models;computer aided design","","1","","","","","","","","IEEE","IEEE Conferences"
"A spatial quantum neural computer","E. C. Behrman; J. E. Steck; S. R. Skinner","Dept. of Phys., Wichita State Univ., KS, USA; NA; NA","IJCNN'99. International Joint Conference on Neural Networks. Proceedings (Cat. No.99CH36339)","","1999","2","","874","877 vol.2","We take another step towards the construction of a bench model of quantum neural network hardware: the simulation of a spatial array of quantum dot molecules, acting as a neural network. Like our previous temporal model (1998), this net has none of the ""wiring problems"" of hardware for traditional neural nets: the necessary connections are supplied by the physical system itself. Computation is performed by the intrinsic physics of the system. The long range character of the phononic interactions takes the net beyond traditional nearest neighbor connectionist systems. Moreover, unlike our temporal model, there would seem to be few inherent problems to the hardware implementation of this architecture.","1098-7576","0-7803-5529","10.1109/IJCNN.1999.831067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=831067","","Quantum computing;Neurons;Neural networks;Quantum dots;Quantum mechanics;Computer architecture;Computer networks;Physics;Computational modeling;Electrons","neural nets;quantum theory;parallel architectures","spatial quantum neural computer;quantum neural network;quantum dot molecules;phononic interactions;nearest neighbor;architecture","","3","","","","","","","","IEEE","IEEE Conferences"
"Building and deploying community nanotechnology software tools on nanoHUB.org - atomistic simulations of multimillion-atom quantum dot nanostructures","G. Klimeck; M. Korkusinski; Haiying Xu; Seungwon Lee; S. Goasguen; F. Saied","Purdue Univ., West Lafayette, IN, USA; Purdue Univ., West Lafayette, IN, USA; Purdue Univ., West Lafayette, IN, USA; Purdue Univ., West Lafayette, IN, USA; Purdue Univ., West Lafayette, IN, USA; Purdue Univ., West Lafayette, IN, USA","5th IEEE Conference on Nanotechnology, 2005.","","2005","","","807 vol. 2","","The growth of self-assembled semiconductor quantum dots (QDs) is driven by strain, induced by the mismatch of the lattice constants of the QD material (in this work, InAs) and that of the barrier material (GaAs). The resulting long-range strain field strongly modifies the energy diagram of the system, and has to be accounted for in realistic simulations of QD electronic properties. The nanoelectronic modeling tool NEMO-3D is designed to provide quantitative estimates of QD-bound electron and hole states by treating the system on the atomistic level. In this paper, a systematic study of the strain calculated within a domain consisting of up to 64 million atoms, followed by an electronic calculation on a subdomain containing up to 21 million atoms is presented. Unique and targeted eigenstates can be extracted from system matrices of order 4/spl times/10.","1944-9399","0-7803-9199","10.1109/NANO.2005.1500654","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1500654","","Nanotechnology;Software tools;Quantum dots;Capacitive sensors;Nanostructured materials;Semiconductor materials;Semiconductor nanostructures;Self-assembly;Lattices;Gallium arsenide","software tools;nanotechnology;semiconductor quantum dots;digital simulation;Internet;lattice constants;indium compounds;gallium arsenide;III-V semiconductors;nanostructured materials;semiconductor growth;self-assembly;physics computing","multimillion-atom quantum dot nanostructures;atomistic simulations;nanotechnology software tools;self-assembled semiconductor quantum dots;lattice constants mismatch;barrier material;long-range strain field;energy diagram;nanoelectronic modeling tool;InAs;GaAs","","1","","","","","","","","IEEE","IEEE Conferences"
"Raman excited spin coherences in N-V diamond","P. R. Hemmer; A. V. Turukhin; S. M. Shahriar; J. A. Musser","Air Force Res. Lab., Hanscom AFB, MA, USA; NA; NA; NA","Technical Digest. Summaries of papers presented at the Conference on Lasers and Electro-Optics. Postconference Technical Digest (IEEE Cat. No.01CH37170)","","2001","","","374","375","Summary form only given. The use of optical Raman interactions to excite spin coherences in solids has numerous potential applications, ranging from low-power nonlinear optics to high-temperature spectral hole burning memories to solid-state quantum computing. The interest in Raman excitation lies in the fact that the spin coherences can be efficiently excited and manipulated using optical laser fields yet are weakly coupled to the environment and hence have the long coherence lifetimes needed for optical memories and quantum computing. The interest in nitrogen-vacancy (N-V) color centers in diamond is its large optical oscillator strength. For memory, a large oscillator strength is important for high temperature operation. For quantum computing, the high optical transition rate enables the higher gate speed and the larger number of quantum logic operations that can be performed within the spin coherence lifetime.","","1-55752-662","10.1109/CLEO.2001.947938","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=947938","","Quantum computing;Nonlinear optics;Optical computing;Laser excitation;Random access memory;Oscillators;Solid state circuits;Solid lasers;Optical coupling;Temperature","diamond;self-induced transparency;Raman spectra;oscillator strengths;vacancies (crystal);V-centres;optical hole burning;multiwave mixing;quantum gates;optical logic;quantum optics","diamond;nitrogen-vacancy color centers;Raman excited spin coherences;optical Raman interactions;spin coherences;solids;low-power nonlinear optics;high-temperature spectral hole burning memories;solid-state quantum computing;Raman excitation;optical laser fields;environment;coherence lifetimes;optical memories;quantum computing;N-vacancy color centers;N-V color centers;optical oscillator strength;memory;high temperature operation;optical transition rate;higher gate speed;quantum logic operations;spin coherence lifetime;C;C:N","","","","","","","","","","IEEE","IEEE Conferences"
"Complex gate implementations for quantum dot cellular automata","W. J. Townsend; J. A. Abraham","Comput. Eng. Res. Center, Texas Univ., Austin, TX, USA; Comput. Eng. Res. Center, Texas Univ., Austin, TX, USA","4th IEEE Conference on Nanotechnology, 2004.","","2004","","","625","627","This paper presents a quantum dot cellular automata complex gate composed from simple 3-input majority gates. This 7-input gate can be configured into many useful gate structures such as a 4-input AND gate, a 4-input OR gate, a product of sums representation, a sum of products representation, and other variations.","","0-7803-8536","10.1109/NANO.2004.1392440","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1392440","","Quantum dots;US Department of Transportation;Quantum cellular automata;Polarization;Wire;Quantum computing;Logic gates;Integrated circuit interconnections;Electrons;Jacobian matrices","quantum dots;logic gates;cellular automata","complex gate implementations;quantum dot;cellular automata;gate structures;AND gate;OR gate","","14","","","","","","","","IEEE","IEEE Conferences"
"Room temperature photoluminescence of MBE grown single quantum wells on InGaAs graded buffers","H. K. H. Choy; C. G. Fonstad","Dept. of Electr. Eng. & Comput. Sci., MIT, MA, USA; Dept. of Electr. Eng. & Comput. Sci., MIT, MA, USA","Conference on Lasers and Electro-Optics, 2004. (CLEO).","","2004","1","","3 pp. vol.1","","We present room temperature photoluminescence studies of InGaAs single quantum wells grown on top of In/sub 0/spl rarr/x/Ga/sub 1/spl rarr/(1-x)/As graded buffers (0.05<x<0.25), with InGaAs and InAlGaAs barriers. Emission was improved 30 times by rapid thermal annealing.","","1-55752-777","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1361708","","Temperature;Photoluminescence;Indium gallium arsenide;Optical materials;Quantum dot lasers;Quantum well lasers;Quantum computing;Optical buffering;Capacitive sensors;Carrier confinement","photoluminescence;molecular beam epitaxial growth;semiconductor quantum wells;indium compounds;gallium arsenide;III-V semiconductors;semiconductor growth;rapid thermal annealing;optical materials","room temperature photoluminescence;MBE;single quantum wells;InGaAs graded buffers;rapid thermal annealing;20 degC;InGaAs","","","","","","","","","","IEEE","IEEE Conferences"
